date, pm25
2020/10/2, 92
2020/10/3, 87
2020/10/4, 134
2020/10/5, 80
2020/10/6, 85
2020/10/7, 89
2020/10/8, 107
2020/10/9, 115
2020/10/10, 106
2020/10/11, 53
2020/10/12, 47
2020/10/13, 58
2020/10/14, 73
2020/10/15, 60
2020/10/16, 66
2020/10/17, 65
2020/10/18, 56
2020/10/19, 83
2020/10/20, 96
2020/10/21, 120
2020/10/22, 52
2020/10/23, 81
2020/10/24, 76
2020/10/25, 88
2020/10/26, 101
2020/10/27, 85
2020/10/28, 84
2020/10/29, 90
2020/10/30, 64
2020/10/31, 15
2020/11/1, 29
2020/11/2, 76
2020/11/3, 64
2020/11/4, 78
2020/11/5, 78
2020/11/6, 87
2020/11/7, 65
2020/11/8, 22
2020/11/9, 33
2020/11/10, 44
2020/11/11, 26
2020/11/12, 62
2020/11/13, 61
2020/11/14, 78
2020/11/15, 92
2020/11/16, 73
2020/11/17, 27
2020/11/18, 21
2020/11/19, 54
2020/11/20, 50
2020/11/21, 66
2020/11/22, 76
2020/11/23, 64
2020/11/24, 62
2020/11/25, 104
2020/11/26, 98
2020/11/27, 61
2020/11/28, 59
2020/11/29, 61
2020/11/30, 63
2020/12/1, 33
2020/12/2, 39
2020/12/3, 44
2020/12/4, 32
2020/12/5, 14
2020/12/6, 26
2020/12/7, 47
2020/12/8, 30
2020/12/9, 39
2020/12/10, 49
2020/12/11, 60
2020/12/12, 81
2020/12/13, 74
2020/12/14, 72
2020/12/15, 68
2020/12/16, 60
2020/12/17, 25
2020/12/18, 19
2020/12/19, 26
2020/12/20, 38
2020/12/21, 34
2020/12/22, 42
2020/12/23, 27
2020/12/24, 29
2020/12/25, 38
2020/12/26, 32
2020/12/27, 12
2020/12/28, 18
2020/12/29, 23
2020/12/30, 40
2020/12/31, 61
2021/1/1, 55
2021/1/2, 25
2020/7/2, 48
2020/7/3, 109
2020/7/4, 97
2020/7/5, 111
2020/7/6, 118
2020/7/7, 105
2020/7/8, 129
2020/7/9, 105
2020/7/10, 109
2020/7/11, 96
2020/7/12, 141
2020/7/13, 153
2020/7/14, 224
2020/7/15, 139
2020/7/16, 71
2020/7/17, 78
2020/7/18, 51
2020/7/19, 41
2020/7/20, 45
2020/7/21, 58
2020/7/22, 164
2020/7/23, 188
2020/7/24, 182
2020/7/25, 173
2020/7/26, 81
2020/7/27, 96
2020/7/28, 144
2020/7/29, 150
2020/7/30, 205
2020/7/31, 122
2020/8/1, 48
2020/8/2, 55
2020/8/3, 98
2020/8/4, 68
2020/8/5, 151
2020/8/6, 115
2020/8/7, 135
2020/8/8, 68
2020/8/9, 92
2020/8/10, 81
