date, pm25, so2
2020/10/2, 43, 
2020/10/3, 39, 
2020/10/4, 31, 
2020/10/5, 38, 
2020/10/6, 40, 
2020/10/7, 36, 
2020/10/8, 34, 
2020/10/9, 48, 
2020/10/10, 47, 
2020/10/11, 45, 
2020/10/12, 41, 
2020/10/13, 42, 
2020/10/14, 41, 
2020/10/15, 40, 
2020/10/16, 40, 
2020/10/17, 49, 
2020/10/18, 58, 
2020/10/19, 48, 
2020/10/20, 38, 
2020/10/21, 32, 
2020/10/22, 31, 
2020/10/23, 36, 
2020/10/24, 38, 
2020/10/25, 38, 
2020/10/26, 32, 
2020/10/27, 31, 
2020/10/28, 32, 
2020/10/29, 38, 
2020/10/30, 37, 
2020/10/31, 46, 
2020/11/1, 54, 
2020/11/2, 51, 
2020/11/3, 51, 
2020/11/4, 46, 
2020/11/5, 57, 
2020/11/6, 56, 
2020/11/7, 48, 
2020/11/8, 42, 
2020/11/9, 31, 
2020/11/10, 35, 
2020/11/11, 51, 
2020/11/12, 47, 
2020/11/13, 44, 
2020/11/14, 47, 
2020/11/15, 47, 
2020/11/16, 40, 
2020/11/17, 42, 
2020/11/18, 47, 
2020/11/19, 52, 
2020/11/20, 48, 
2020/11/21, 50, 
2020/11/22, 58, 
2020/11/23, 55, 
2020/11/24, 42, 
2020/11/25, 46, 
2020/11/26, 39, 
2020/11/27, 34, 
2020/11/28, 41, 
2020/11/29, 53, 
2020/11/30, 49, 
2020/12/1, 50, 
2020/12/2, 44, 
2020/12/3, 40, 
2020/12/4, 40, 
2020/12/5, 41, 
2020/12/6, 44, 
2020/12/7, 49, 
2020/12/8, 53, 
2020/12/9, 45, 
2020/12/10, 50, 
2020/12/11, 47, 
2020/12/12, 49, 
2020/12/13, 42, 
2020/12/14, 50, 
2020/12/15, 53, 
2020/12/16, 45, 
2020/12/17, 45, 
2020/12/18, 52, 
2020/12/19, 48, 
2020/12/20, 44, 
2020/12/21, 36, 
2020/12/22, 44, 
2020/12/23, 44, 
2020/12/24, 41, 
2020/12/25, 48, 
2020/12/26, 57, 
2020/12/27, 46, 
2020/12/28, 40, 
2020/12/29, 35, 
2020/12/30, 47, 
2020/12/31, 58, 
2021/1/1, 52, 
2021/1/2, 55, 
2021/1/3, 29, 
2021/1/4, 30, 
2020/7/2, 57, 
2020/7/3, 53, 
2020/7/4, 51, 
2020/7/5, 57, 
2020/7/6, 49, 
2020/7/7, 52, 
2020/7/8, 48, 
2020/7/9, 53, 
2020/7/10, 61, 
2020/7/11, 48, 
2020/7/12, 46, 
2020/7/13, 51, 
2020/7/14, 45, 
2020/7/15, 69, 
2020/7/16, 84, 
2020/7/17, 81, 
2020/7/18, 65, 
2020/7/19, 54, 
2020/7/20, 49, 
2020/7/21, 53, 
2020/7/22, 52, 
2020/7/23, 50, 
2020/7/24, 48, 
2020/7/25, 42, 
2020/7/26, 53, 
2020/7/27, 64, 
2020/7/28, 58, 
2020/7/29, 55, 
2020/7/30, 52, 
2020/7/31, 53, 
2020/8/1, 60, 
2020/8/2, 63, 
2020/8/3, 51, 
2020/8/4, 54, 
2020/8/5, 49, 
2020/8/6, 45, 
2020/8/7, 51, 
2020/8/8, 55, 
2020/8/9, 61, 
2020/8/10, 64, 
2020/8/11, 62, 
2020/8/12, 55, 
2020/8/13, 51, 
2020/8/14, 54, 
2020/8/15, 53, 
2020/8/16, 51, 
2020/8/17, 52, 
2020/8/18, 51, 
2020/8/19, 32, 
2020/8/20, 35, 
2020/8/21, 45, 
2020/8/22, 58, 
2020/8/23, 60, 
2020/8/24, 52, 
2020/8/25, 31, 
2020/8/26, 37, 
2020/8/27, 41, 
2020/8/28, 42, 
