date, pm25, pm10
2020/10/2, 52, 
2020/10/3, 41, 
2020/10/4, 58, 
2020/10/5, 54, 
2020/10/6, 44, 
2020/10/7, 46, 
2020/10/8, 44, 
2020/10/9, 46, 
2020/10/10, 70, 
2020/10/11, 46, 
2020/10/12, 42, 
2020/10/13, 52, 
2020/10/14, 45, 
2020/10/15, 48, 
2020/10/16, 66, 
2020/10/17, 80, 
2020/10/18, 71, 
2020/10/19, 57, 
2020/10/20, 51, 
2020/10/21, 56, 
2020/10/22, 51, 
2020/10/23, 50, 
2020/10/24, 16, 
2020/10/25, 9, 
2020/10/26, 20, 
2020/10/27, 47, 
2020/10/28, 51, 
2020/10/29, 60, 
2020/10/30, 50, 
2020/10/31, 60, 
2020/11/1, 52, 
2020/11/2, 62, 
2020/11/3, 47, 
2020/11/4, 42, 
2020/11/5, 44, 
2020/11/6, 40, 
2020/11/7, 31, 
2020/11/8, 35, 
2020/11/9, 41, 
2020/11/10, 44, 
2020/11/11, 39, 
2020/11/12, 29, 
2020/11/13, 52, 
2020/11/14, 46, 
2020/11/15, 40, 
2020/11/16, 35, 
2020/11/17, 43, 
2020/11/18, 44, 
2020/11/19, 45, 
2020/11/20, 42, 
2020/11/21, 51, 
2020/11/22, 55, 
2020/11/23, 42, 
2020/11/24, 30, 
2020/11/25, 33, 
2020/11/26, 32, 
2020/11/27, 49, 
2020/11/28, 54, 
2020/11/29, 22, 
2020/11/30, 23, 
2020/12/1, 26, 
2020/12/2, 26, 
2020/12/3, 20, 
2020/12/4, 35, 
2020/12/5, 47, 
2020/12/6, 54, 
2020/12/7, 39, 
2020/12/8, 34, 
2020/12/9, 31, 
2020/12/10, 30, 
2020/12/11, 38, 
2020/12/12, 33, 
2020/12/13, 46, 
2020/12/14, 24, 
2020/12/15, 22, 
2020/12/16, 27, 
2020/12/17, 28, 
2020/12/18, 27, 
2020/12/19, 24, 
2020/12/20, 18, 
2020/12/21, 29, 
2020/12/22, 57, 
2020/12/23, 30, 
2020/12/24, 19, 
2020/12/25, 18, 
2020/12/26, 16, 
2020/12/27, 21, 
2020/12/28, 18, 
2020/12/29, 17, 
2020/12/30, 27, 
2020/12/31, 25, 
2021/1/1, 22, 
2021/1/2, 25, 
2021/1/3, 22, 
2021/1/4, 25, 
2020/7/2, 75, 
2020/7/3, 95, 
2020/7/4, 98, 
2020/7/5, 135, 
2020/7/6, 109, 
2020/7/7, 121, 
2020/7/8, 154, 
2020/7/9, 114, 
2020/7/10, 81, 
2020/7/11, 72, 
2020/7/12, 68, 
2020/7/13, 102, 
2020/7/14, 70, 
2020/7/15, 141, 
2020/7/16, 181, 
2020/7/17, 139, 
2020/7/18, 75, 
2020/7/19, 68, 
2020/7/20, 73, 
2020/7/21, 75, 
2020/7/22, 58, 
2020/7/23, 55, 
2020/7/24, 106, 
2020/7/25, 99, 
2020/7/26, 96, 
2020/7/27, 59, 
2020/7/28, 49, 
2020/7/29, 50, 
2020/7/30, 85, 
2020/7/31, 91, 
2020/8/1, 69, 
2020/8/2, 80, 
2020/8/3, 71, 
2020/8/4, 71, 
2020/8/5, 60, 
2020/8/6, 63, 
2020/8/7, 60, 
2020/8/8, 46, 
2020/8/9, 59, 
2020/8/10, 53, 
2020/8/11, 37, 
2020/8/12, 42, 
2020/8/13, 37, 
2020/8/14, 39, 
2020/8/15, 64, 
2020/8/16, 44, 
2020/8/17, 52, 
2020/8/18, 66, 
2020/8/19, 62, 
2020/8/20, 35, 
2020/8/21, 48, 
2020/8/22, 51, 
2020/8/23, 73, 
2020/8/24, 82, 
2020/8/25, 61, 
2020/8/26, 47, 
2020/8/27, 50, 
2020/8/28, 56, 
2020/8/29, 57, 
2020/8/30, 29, 
2020/8/31, 40, 
2020/9/1, 46, 
2020/9/2, 71, 
2020/9/3, 75, 
2020/9/4, 59, 
2020/9/5, 86, 
2020/9/6, 80, 
2020/9/7, 117, 
2020/9/8, 84, 
2020/9/9, 62, 
2020/9/10, 74, 
2020/9/11, 65, 
2020/9/12, 66, 
2020/9/13, 59, 
2020/9/14, 56, 
2020/9/15, 47, 
2020/9/16, 41, 
2020/9/17, 52, 
2020/9/18, 55, 
2020/9/19, 48, 
2020/9/20, 54, 
2020/9/21, 62, 
2020/9/22, 55, 
2020/9/23, 44, 
2020/9/24, 69, 
2020/9/25, 82, 
2020/9/26, 98, 
2020/9/27, 78, 
2020/9/28, 56, 
2020/9/29, 46, 
2020/9/30, 57, 
2020/10/1, 57, 
2020/4/2, 30, 
2020/4/3, 43, 
2020/4/4, 56, 
