date, pm25, pm10, o3, no2, so2, co
2020/10/2, 54, 52, 33, 17, , 1
2020/10/3, 59, 39, 32, 12, , 
2020/10/4, 53, 24, 33, 11, , 
2020/10/5, 36, 59, 34, 20, , 3
2020/10/6, 64, 58, 34, 17, , 1
2020/10/7, 58, 67, 40, 22, , 2
2020/10/8, 77, 64, 40, 20, , 1
2020/10/9, 66, 66, 50, 23, , 2
2020/10/10, 78, 61, 50, 15, , 2
2020/10/11, 68, 53, 56, 14, , 2
2020/10/12, 60, 47, 51, 14, , 3
2020/10/13, 64, 70, 34, 19, , 2
2020/10/14, 67, 63, 36, 17, , 3
2020/10/15, 72, 74, 62, 24, , 5
2020/10/16, 96, 63, 34, 17, , 4
2020/10/17, 72, 65, 46, 18, , 6
2020/10/18, 96, 48, 40, 11, , 4
2020/10/19, 79, 56, 37, 13, , 4
2020/10/20, 58, 62, 45, 17, , 5
2020/10/21, 59, 67, 35, 16, , 5
2020/10/22, 57, 68, 46, 19, , 6
2020/10/23, 68, 66, 47, 16, , 7
2020/10/24, 66, 55, 37, 12, , 6
2020/10/25, 56, 32, 27, 6, , 6
2020/10/26, 38, 65, 40, 14, , 7
2020/10/27, 74, 63, 13, 19, , 7
2020/10/28, 54, 55, 35, 12, , 6
2020/10/29, 52, 61, 45, 18, , 7
2020/10/30, 54, 66, 46, 21, , 8
2020/10/31, 64, 62, 48, 15, , 8
2020/11/1, 69, 46, 40, 9, , 7
2020/11/2, 58, 59, 39, 17, , 8
2020/11/3, 60, 63, 54, 17, , 9
2020/11/4, 69, 63, 33, 14, , 9
2020/11/5, 65, 59, 38, 14, , 7
2020/11/6, 57, 71, 46, 16, , 5
2020/11/7, 61, 62, 58, 16, , 6
2020/11/8, 63, 50, 33, 9, , 5
2020/11/9, 56, 54, 42, 13, , 6
2020/11/10, 59, 70, 37, 15, , 7
2020/11/11, 62, 65, 38, 12, , 7
2020/11/12, 62, 64, 43, 14, , 8
2020/11/13, 63, 49, 22, 11, , 8
2020/11/14, 57, 34, 39, 8, , 7
2020/11/15, 47, 39, 38, 7, , 7
2020/11/16, 38, 55, 34, 12, , 8
2020/11/17, 48, 54, 23, 11, , 8
2020/11/18, 58, 55, 39, 16, , 11
2020/11/19, 63, 56, 26, 11, , 10
2020/11/20, 56, 42, 30, 10, , 10
2020/11/21, 46, 37, 43, 11, , 10
2020/11/22, 42, 44, 47, 9, , 11
2020/11/23, 44, 55, 32, 12, , 11
2020/11/24, 42, 54, 29, 10, , 12
2020/11/25, 34, 55, 39, 12, , 12
2020/11/26, 36, 72, 42, 16, , 13
2020/11/27, 56, 83, 34, 15, , 14
2020/11/28, 67, 62, 39, 12, , 15
2020/11/29, 59, 39, 40, 8, , 16
2020/11/30, 42, 54, 43, 12, , 17
2020/12/1, 48, 104, 33, 14, , 19
2020/12/2, 60, 73, 39, 14, , 21
2020/12/3, 61, 62, 38, 14, , 22
2020/12/4, 58, 75, 41, 13, , 24
2020/12/5, 61, 61, 39, 12, , 26
2020/12/6, 59, 53, 48, 9, , 
2020/12/7, 60, 70, 36, 13, , 
2020/12/8, 59, 53, 45, 9, , 
2020/12/9, 53, 60, 46, 12, , 
2020/12/10, 53, 80, 20, 10, , 
2020/12/11, 55, 67, 38, 11, , 92
2020/12/12, 53, 54, 32, 4, , 
2020/12/13, 50, 38, 34, 6, , 99
2020/12/14, 41, 62, 38, 14, , 101
2020/12/15, 47, 61, 37, 9, , 
2020/12/16, 47, 66, 47, 13, , 101
2020/12/17, 54, 74, 41, 15, , 98
2020/12/18, 61, 57, 26, 8, , 99
2020/12/19, 56, 38, 30, 8, , 99
2020/12/20, 44, 33, 38, 7, , 99
2020/12/21, 41, 54, 46, 14, , 99
2020/12/22, 48, 67, 102, 17, , 137
2020/12/23, 57, 83, 32, 17, , 
2020/12/24, 69, 63, 44, 13, , 
2020/12/25, 66, 52, 44, 9, , 3
2020/12/26, 65, 48, 28, 9, , 1
2020/12/27, 60, 32, 26, 5, , 
2020/12/28, 50, 59, 34, 10, , 3
2020/12/29, 65, 63, 27, 11, , 5
2020/12/30, 61, 58, 40, 14, , 4
2020/12/31, 53, 66, 48, 15, , 5
2021/1/1, 79, 55, 36, 9, , 5
2021/1/2, 84, 45, 28, 6, , 3
2021/1/3, 59, 39, 33, 6, , 2
2021/1/4, 54, , , , , 
2020/7/2, 79, 67, , , , 
2020/7/3, 85, 92, , , , 
2020/7/4, 129, 52, , , , 
2020/7/5, 84, 14, , , , 
2020/7/6, 26, 59, , , , 
2020/7/7, 52, 85, , , , 
2020/7/8, 98, 77, , , , 
2020/7/9, 99, 90, , , , 
2020/7/10, 93, 123, , , , 
2020/7/11, 135, 99, , , , 
2020/7/12, 155, 66, , , , 
2020/7/13, 123, 112, , , , 
2020/7/14, 149, 142, , , , 
2020/7/15, 139, 114, , , , 
2020/7/16, 160, 75, , , , 
2020/7/17, 103, 93, , , , 
2020/7/18, 153, 84, , , , 
2020/7/19, 143, 57, , , , 
2020/7/20, 112, 44, , , , 
2020/7/21, 57, 32, , , , 
2020/7/22, 51, 33, , , , 
2020/7/23, 44, 82, , , , 
2020/7/24, 110, 83, , , , 
2020/7/25, 100, 85, , , , 
2020/7/26, 127, 96, , , , 
2020/7/27, 159, 87, , , , 
2020/7/28, 160, 95, , , , 
2020/7/29, 112, 127, , , , 
2020/7/30, 144, 93, , , , 
2020/7/31, 137, 119, , , , 
2020/8/1, 112, 109, , , , 
2020/8/2, 157, 70, , , , 
2020/8/3, 139, 69, , , , 
2020/8/4, 132, 74, , , , 
2020/8/5, 98, 60, , , , 
2020/8/6, 85, 53, , , , 
2020/8/7, 50, 73, , , , 
2020/8/8, 99, 72, , , , 
2020/8/9, 108, 69, , , , 
2020/8/10, 135, 59, , , , 
2020/8/11, 77, 62, , , , 
2020/8/12, 71, 67, , , , 
2020/8/13, 85, 71, , , , 
2020/8/14, 107, 57, , , , 
2020/8/15, 72, 55, , , , 
2020/8/16, 83, 57, , , , 
2020/8/17, 107, 63, , , , 
2020/8/18, 92, 61, , , , 
2020/8/19, 79, 57, , , , 
2020/8/20, 74, 82, , , , 
2020/8/21, 107, 91, , , , 
2020/8/22, 122, 85, , , , 
2020/8/23, 126, 44, , , , 
