date, pm25, pm10, o3, no2, so2, co
2020/10/2, 54, 21, 15, 7, 9, 4
2020/10/3, 52, 23, 17, 5, 6, 1
2020/10/4, 58, 20, 17, 4, 5, 2
2020/10/5, 58, 20, 17, 7, 14, 2
2020/10/6, 54, 23, 24, 7, 12, 8
2020/10/7, 52, 25, 17, 6, 4, 2
2020/10/8, 54, 23, 18, 5, 3, 3
2020/10/9, 55, 23, 12, 8, 12, 2
2020/10/10, 44, 19, 17, 4, 6, 1
2020/10/11, 21, 33, 17, 6, 5, 1
2020/10/12, 16, 35, 13, 9, 10, 1
2020/10/13, 35, 30, 25, 5, 10, 5
2020/10/14, 59, 35, 15, 7, 6, 2
2020/10/15, 58, 51, 15, 11, 11, 1
2020/10/16, 74, 32, 14, 5, 3, 2
2020/10/17, 66, 25, 17, 4, 2, 2
2020/10/18, 54, 26, 17, 3, 3, 3
2020/10/19, 60, 24, 16, 4, 4, 2
2020/10/20, 43, 38, 26, 6, 10, 7
2020/10/21, 60, 33, 14, 6, 7, 1
2020/10/22, 52, 33, 16, 7, 9, 1
2020/10/23, 52, 25, 14, 5, 6, 2
2020/10/24, 56, 23, 16, 6, 3, 3
2020/10/25, 66, 23, 16, 5, 4, 4
2020/10/26, 67, 25, 26, 6, 9, 7
2020/10/27, 59, 18, 16, 4, 4, 2
2020/10/28, 55, 25, 14, 5, 8, 1
2020/10/29, 46, 36, 14, 7, 6, 1
2020/10/30, 57, 48, 14, 10, 12, 3
2020/10/31, 85, 34, 12, 9, 5, 4
2020/11/1, 70, 22, 12, 4, 4, 8
2020/11/2, 59, 24, 25, 9, 16, 7
2020/11/3, 62, 33, 16, 7, 8, 2
2020/11/4, 76, 30, 14, 7, 12, 1
2020/11/5, 65, 33, 13, 5, 7, 1
2020/11/6, 55, 31, 12, 8, 9, 1
2020/11/7, 55, 35, 11, 7, 8, 1
2020/11/8, 58, 32, 12, 5, 7, 1
2020/11/9, 57, 30, 12, 5, 7, 1
2020/11/10, 55, 35, 43, 6, 12, 6
2020/11/11, 56, 21, 13, 5, 6, 3
2020/11/12, 49, 30, 18, 8, 8, 3
2020/11/13, 55, 24, 17, 5, 5, 3
2020/11/14, 47, 31, 16, 6, 13, 3
2020/11/15, 49, 31, 17, 5, 8, 2
2020/11/16, 47, 35, 16, 6, 11, 2
2020/11/17, 56, 31, 22, 5, 6, 2
2020/11/18, 55, 24, 19, 5, 9, 7
2020/11/19, 44, 22, 28, 4, 4, 2
2020/11/20, 47, 15, 16, 4, 3, 3
2020/11/21, 34, 12, 14, 2, 3, 2
2020/11/22, 26, 17, 13, 3, 4, 1
2020/11/23, 43, 19, 17, 4, 6, 1
2020/11/24, 29, 21, 14, 4, 4, 18
2020/11/25, 37, 21, 14, 4, 7, 1
2020/11/26, 31, 41, 32, 6, 5, 1
2020/11/27, 57, 24, 13, 3, 3, 1
2020/11/28, 55, 16, 13, 3, 4, 1
2020/11/29, 32, 24, 12, 4, 5, 1
2020/11/30, 34, 33, 13, 5, 7, 1
2020/12/1, 47, 38, 13, 6, 8, 1
2020/12/2, 43, 28, 36, 6, 13, 15
2020/12/3, 35, 36, 13, 8, 7, 1
2020/12/4, 45, 42, 11, 11, 19, 1
2020/12/5, 57, 45, 18, 7, 1, 1
2020/12/6, 64, 28, 18, 6, 6, 1
2020/12/7, 57, 20, 8, 4, 2, 1
2020/12/8, 43, , 12, 4, 5, 1
2020/12/10, 31, 19, 25, 5, 12, 7
2020/12/11, 81, 25, 13, 5, 4, 1
2020/12/12, 25, 23, 9, 6, 2, 1
2020/12/13, 30, 23, 13, 4, 1, 2
2020/12/14, 44, 18, 10, 5, 1, 1
2020/12/15, 33, 26, 12, 5, 6, 1
2020/12/16, 39, 35, 11, 9, 8, 1
2020/12/17, 58, 34, 30, 8, 14, 5
2020/12/18, 52, 22, 8, 6, 6, 3
2020/12/19, 44, 15, 8, 5, 7, 3
2020/12/20, 31, 20, 9, 5, 8, 3
2020/12/21, 36, 30, 10, 6, 11, 3
