date, pm25, pm10, o3, no2, so2, co
2020/10/2, 66, 47, 14, 8, 3, 31
2020/10/3, 84, 25, 15, 8, 3, 12
2020/10/4, 47, 31, 12, 7, 3, 9
2020/10/5, 67, 32, 12, 6, 2, 23
2020/10/6, 54, 37, 12, 9, 3, 18
2020/10/7, 56, 50, 12, 10, 5, 25
2020/10/8, 65, 35, 11, 10, 5, 12
2020/10/9, 50, 41, 7, 10, 5, 32
2020/10/10, 63, 29, 11, 3, 1, 42
2020/10/11, 40, 32, 13, 7, 2, 14
2020/10/12, 46, 36, 12, 7, 2, 13
2020/10/13, 50, 38, 8, 11, 5, 42
2020/10/14, 39, 37, 12, 6, 1, 9
2020/10/15, 14, 48, 9, 8, 1, 7
2020/10/16, 12, 45, 13, 5, 1, 7
2020/10/17, 19, 21, 14, 2, , 6
2020/10/18, 35, 23, 13, 4, 1, 8
2020/10/19, 49, 36, 12, 7, 1, 21
2020/10/20, 46, 51, 12, 6, 4, 17
2020/10/21, 58, 37, 11, 4, 1, 14
2020/10/22, 42, 38, 12, 6, 2, 13
2020/10/23, 57, 28, 11, 5, 3, 17
2020/10/24, 50, 30, 6, 8, 1, 11
2020/10/25, 66, 32, 10, 7, 3, 19
2020/10/26, 70, 23, 11, 6, 1, 10
2020/10/27, 38, 20, 11, 3, 1, 7
2020/10/28, 35, 26, 9, 6, 1, 18
2020/10/29, 40, 37, 9, 7, 2, 32
2020/10/30, 52, 49, 8, 10, 2, 9
2020/10/31, 61, 37, 12, 5, 1, 15
2020/11/1, 59, 20, 12, 2, 1, 7
2020/11/2, 40, 19, 14, 6, 1, 7
2020/11/3, 40, 26, , 7, 1, 
2020/11/4, 50, 35, 8, 6, 1, 27
2020/11/5, 44, 53, 8, 6, 4, 14
2020/11/6, 66, 40, 9, 5, 7, 23
2020/11/7, 45, 36, 9, 5, 2, 29
2020/11/8, 48, 31, 8, 4, 2, 15
2020/11/9, 49, 28, 12, 4, 2, 15
2020/11/10, 44, 30, 12, 4, 6, 6
2020/11/11, 45, 23, 13, 4, 1, 11
2020/11/12, 37, 31, 14, 6, 1, 22
