date, pm25, pm10, o3, no2, so2, co
2020/10/2, 56, 54, 26, 14, , 6
2020/10/3, 67, 42, 29, 10, , 3
2020/10/4, 61, 32, 28, 9, 1, 4
2020/10/5, 41, 53, 30, 18, 1, 5
2020/10/6, 63, 56, 29, 17, 1, 4
2020/10/7, 62, 59, 35, 20, 1, 5
2020/10/8, 78, 60, 34, 22, 1, 7
2020/10/9, 72, 62, 36, 25, 3, 5
2020/10/10, 77, 62, 41, 18, 2, 7
2020/10/11, 76, 55, 52, 15, 2, 5
2020/10/12, 64, 53, 43, 16, 2, 7
2020/10/13, 68, 64, 28, 18, 1, 6
2020/10/14, 77, 58, 28, 17, , 5
2020/10/15, 78, 73, 48, 25, 1, 8
2020/10/16, 96, 64, 30, 16, , 5
2020/10/17, 84, 65, 43, 17, , 7
2020/10/18, 103, 53, 36, 11, 1, 5
2020/10/19, 80, 60, 29, 16, , 4
2020/10/20, 74, 59, 37, 16, 1, 4
2020/10/21, 65, 61, 29, 16, , 4
2020/10/22, 67, 64, 37, 18, 1, 5
2020/10/23, 76, 65, 38, 17, 1, 4
2020/10/24, 76, 60, 33, 10, , 5
2020/10/25, 68, 37, 24, 4, 1, 3
2020/10/26, 44, 53, 32, 15, 1, 6
2020/10/27, 70, 50, 11, 15, , 3
2020/10/28, 55, 48, 26, 14, 1, 3
2020/10/29, 56, 58, 35, 18, 1, 5
2020/10/30, 63, 62, 38, 18, 2, 6
2020/10/31, 67, 66, 44, 15, 1, 6
2020/11/1, 87, 49, 36, 8, , 3
2020/11/2, 65, 63, 33, 18, , 5
2020/11/3, 71, 62, 44, 15, 1, 4
2020/11/4, 73, 57, 25, 12, , 4
2020/11/5, 67, 54, 31, 14, 1, 4
2020/11/6, 62, 66, 38, 17, 1, 5
2020/11/7, 84, 67, 50, 15, 2, 7
2020/11/8, 81, 53, 29, 7, , 5
2020/11/9, 69, 51, 34, 13, 1, 2
2020/11/10, 61, 63, 31, 13, 1, 5
2020/11/11, 74, 54, 30, 11, 1, 2
2020/11/12, 67, 56, 35, 13, 1, 4
2020/11/13, 69, 44, 17, 10, , 2
2020/11/14, 62, 35, 34, 7, , 3
2020/11/15, 54, 44, 33, 8, 1, 3
2020/11/16, 57, 49, 27, 11, , 4
2020/11/17, 54, 49, 19, 10, , 4
2020/11/18, 62, 56, 29, 16, 1, 3
2020/11/19, 73, 50, 25, 10, , 1
2020/11/20, 65, 37, 25, 9, , 2
2020/11/21, 60, 39, 38, 9, , 1
2020/11/22, 55, 51, 41, 8, 1, 5
2020/11/23, 68, 50, 27, 11, , 1
2020/11/24, 57, 49, 27, 10, , 1
2020/11/25, 49, 50, 30, 13, 1, 1
2020/11/26, 47, 56, 35, 15, 2, 2
2020/11/27, 56, 61, 30, 13, 1, 3
2020/11/28, 68, 58, 35, 11, 1, 2
2020/11/29, 81, 47, 34, 7, 1, 4
2020/11/30, 68, 51, 33, 14, 1, 
2020/12/1, 60, 67, 29, 14, 1, 1
2020/12/2, 71, 57, 32, 13, 1, 2
2020/12/3, 65, 57, 30, 15, 1, 1
2020/12/4, 72, 65, 35, 15, 2, 2
2020/12/5, 78, 59, 32, 11, 1, 2
2020/12/6, 79, 54, 40, 8, 1, 1
2020/12/7, 74, 60, 27, 13, 1, 2
2020/12/8, 75, 50, 39, 9, 1, 
2020/12/9, 63, 56, 35, 15, 1, 2
2020/12/10, 70, 53, 17, 9, 1, 1
2020/12/11, 75, 50, 28, 10, 1, 3
2020/12/12, 66, 52, 31, 9, 1, 2
2020/12/13, 74, 40, 29, 5, 1, 3
2020/12/14, 58, 50, 27, 14, 1, 1
2020/12/15, 52, 50, 28, 12, 1, 4
2020/12/16, 62, 59, 113, 14, 1, 2
2020/12/17, 63, 63, 33, 14, 1, 2
2020/12/18, 64, 48, 23, 9, , 
2020/12/19, 54, 42, 26, 8, 1, 2
2020/12/20, 45, 39, 34, 7, 1, 2
2020/12/21, 45, 57, 39, 15, 1, 3
2020/12/22, 59, 63, 36, 17, 1, 2
2020/12/23, 64, 63, 28, 14, 2, 2
2020/12/24, 65, 63, 39, 13, 2, 1
2020/12/25, 74, 67, 42, 10, 1, 6
2020/12/26, 93, 50, 25, 8, 1, 1
2020/12/27, 58, 35, 25, 4, , 1
2020/12/28, 44, 49, 28, 10, 1, 2
2020/12/29, 52, 53, 22, 10, 1, 2
2020/12/30, 53, 49, 33, 10, 2, 1
2020/12/31, 51, 61, 40, 14, 2, 2
2021/1/1, 72, 71, 30, 9, 2, 7
2021/1/2, 109, 48, 24, 6, 2, 2
2021/1/3, 60, 42, 28, 5, 2, 1
2021/1/4, 50, , , , , 
2020/7/2, 85, 65, 9, 31, 1, 18
2020/7/3, 95, 80, 12, 32, , 17
2020/7/4, 125, 65, 10, 22, , 10
2020/7/5, 112, 25, 14, 17, , 5
2020/7/7, 72, 83, 9, 26, 1, 18
2020/7/8, 121, 69, 12, 23, , 13
2020/7/9, 125, 75, 9, 27, 1, 18
2020/7/10, 97, 92, 13, 31, 18, 21
2020/7/11, 135, 87, 12, 27, 1, 17
2020/7/12, 157, 81, 17, 21, 1, 16
2020/7/13, 149, 87, 9, 38, 1, 19
2020/7/14, 155, 88, 13, 37, 2, 17
2020/7/15, 128, 92, 11, 36, 2, 16
2020/7/16, 152, 104, 20, 34, 2, 25
2020/7/17, 142, 113, 9, 28, 2, 28
2020/7/18, 173, 83, 6, 20, 2, 21
2020/7/19, 155, 62, 14, 14, 1, 14
2020/7/20, 133, 35, 10, 19, , 6
2020/7/21, 63, 27, 10, 19, , 6
2020/7/22, 52, 38, 14, 23, 1, 7
2020/7/23, 43, 71, 13, 25, 1, 12
2020/7/24, 112, 74, 14, 28, 1, 15
2020/7/25, 96, 92, 14, 34, 2, 24
2020/7/26, 128, 107, 6, 38, 2, 30
2020/7/27, 167, 83, 10, 31, 1, 17
2020/7/28, 156, 86, 9, 37, 2, 19
2020/7/29, 129, 108, 8, 49, 2, 24
2020/7/30, 153, 88, 9, 31, 1, 13
2020/7/31, 146, 120, 6, 55, 2, 22
2020/8/1, 115, 118, 8, 32, 2, 25
2020/8/2, 162, 84, 16, 30, 1, 21
2020/8/3, 155, 77, 5, 35, 1, 14
2020/8/4, 149, 80, 6, 39, 1, 13
2020/8/5, 129, 61, , 22, , 7
2020/8/6, 106, 47, , 21, 1, 5
2020/8/7, 61, 72, , 27, 1, 9
2020/8/8, 109, 78, 3, 32, 1, 13
2020/8/9, 113, 74, 1, 22, , 13
2020/8/10, 141, 52, , 21, , 8
2020/8/11, 81, 54, , 22, 1, 6
2020/8/12, 73, 62, 1, 27, 1, 9
2020/8/13, 87, 75, 2, 29, 1, 11
2020/8/14, 122, 68, 3, 23, 1, 10
2020/8/15, 85, 71, 2, 22, 1, 12
2020/8/16, 132, 65, 6, 20, 1, 11
2020/8/17, 128, 65, 1, 27, 1, 11
2020/8/18, 101, 63, , 22, 1, 10
2020/8/19, 101, 60, 4, 24, , 6
2020/8/20, 86, 86, 2, 34, 2, 14
2020/8/21, 113, 108, 5, 35, 2, 20
2020/8/22, 127, 94, 6, 29, 2, 17
2020/8/23, 151, 50, 6, 11, , 4
2020/8/24, 85, 37, 1, 17, , 4
2020/8/25, 49, 41, 14, 16, , 5
2020/8/26, 52, 29, 15, 20, , 4
2020/8/27, 37, 45, 18, 18, 1, 8
2020/8/28, 58, 43, 11, 24, , 6
2020/8/29, 59, 36, 22, 15, , 5
2020/8/30, 58, 36, 26, 14, 1, 5
2020/8/31, 66, 53, 22, 21, 1, 9
2020/9/1, 79, 44, 12, 21, , 3
