date, pm25, pm10, o3, no2, so2, co
2020/10/2, 53, 25, 12, 2, 1, 
2020/10/3, 60, 32, 11, 1, 1, 
2020/10/4, 71, 36, 13, 2, 1, 
2020/10/5, 73, 44, 11, 2, 1, 
2020/10/6, 83, 29, 11, 2, 1, 
2020/10/7, 63, 23, 12, 1, , 
2020/10/8, 44, 29, 12, 2, , 
2020/10/9, 50, 23, 11, 3, 1, 
2020/10/10, 41, 29, 13, 3, , 
2020/10/11, 51, 47, 16, 3, 1, 
2020/10/12, 73, 52, 15, 2, , 
2020/10/13, 66, 47, 23, 4, 7, 
2020/10/14, 68, 40, 17, 2, , 
2020/10/15, 57, 39, 17, 4, 1, 
2020/10/16, 57, 42, 11, 1, 1, 
2020/10/17, 55, 26, 13, 1, , 
2020/10/18, 47, 30, 13, 1, , 
2020/10/19, 59, 30, 14, 1, , 
2020/10/20, 49, 34, 13, 1, , 
2020/10/21, 45, 41, 14, 2, , 
2020/10/22, 62, 41, 16, 3, 1, 
2020/10/23, 56, 42, 11, 2, 3, 
2020/10/24, 65, 38, 9, 2, , 
2020/10/25, 66, 24, 13, 1, 1, 
2020/10/26, 55, 17, 13, 2, 1, 
2020/10/27, 25, 17, 12, , , 
2020/10/28, 25, 15, 13, , 1, 
2020/10/29, 20, 24, 15, 2, 1, 
2020/10/30, 35, 36, 26, 3, 5, 
2020/10/31, 53, 39, 12, 2, , 
2020/11/1, 61, 24, 9, , , 
2020/11/2, 46, 27, 9, 3, 1, 
2020/11/3, 52, 31, 13, 2, , 
2020/11/4, 59, 26, 11, 1, , 
2020/11/5, 41, 33, 11, 1, , 
2020/11/6, 41, 41, 13, 1, , 
2020/11/7, 44, 46, 14, 1, , 
2020/11/8, 48, 41, 13, , , 
2020/11/9, 46, 38, 12, 3, , 
2020/11/10, 42, 39, 15, 1, 1, 
2020/11/11, 40, 30, 6, 1, 1, 
2020/11/12, 38, 28, 15, , , 
2020/11/13, 38, 26, 8, , 1, 
2020/11/14, 29, 24, 11, , , 
2020/11/15, 29, 31, 11, , , 
2020/11/16, 36, 38, 12, , , 
2020/11/17, 38, 38, 24, 3, 6, 
2020/11/18, 35, 23, 10, , , 
2020/11/19, 27, 20, 8, 1, , 
2020/11/20, 33, 18, 8, 1, , 
2020/11/21, 23, 21, 8, , , 
2020/11/22, 20, 17, 8, , , 
2020/11/23, 15, 18, 9, , 1, 
2020/11/24, 17, 16, 7, , , 
2020/11/25, 15, 17, 8, , , 
2020/11/26, 20, 31, 11, , , 
2020/11/27, 33, 31, 37, 1, 6, 
2020/11/28, 38, 18, 8, 1, , 
2020/11/29, 21, 23, 13, 1, , 
2020/11/30, 16, 32, 12, 6, 3, 
2020/12/1, 33, 31, 12, , , 
2020/12/2, 49, 36, 10, , , 
2020/12/3, 35, 29, 12, 1, , 
2020/12/4, 34, 31, 16, 3, 1, 
2020/12/5, 37, 38, 16, 3, 1, 
2020/12/6, 55, 30, 16, 1, 1, 
2020/12/7, 57, 21, 6, 1, , 
2020/12/8, 42, 18, 9, 2, , 
2020/12/9, 32, 26, 12, 3, 1, 
2020/12/10, 42, 22, 7, 2, , 
2020/12/11, 35, 18, 8, 1, , 
2020/12/12, 30, 18, 5, 1, , 
2020/12/13, 33, 13, 10, 2, , 
2020/12/14, 28, 13, 5, 2, , 
2020/12/15, 24, 21, 9, 3, 1, 
2020/12/16, 43, 28, 32, 3, 5, 
2020/12/17, 49, 30, 26, 3, , 
