date, pm25, o3, no2, so2, co
2020/10/2, 38, 17, 2, 2, 2
2020/10/3, 39, 19, 2, 2, 1
2020/10/4, 33, 17, 3, 2, 2
2020/10/5, 35, 17, , , 3
2020/10/6, 39, 17, 4, 1, 3
2020/10/7, 52, 17, 6, 9, 11
2020/10/8, 53, 17, 5, 2, 2
2020/10/9, 63, 18, 4, 3, 3
2020/10/10, 62, 19, 4, 4, 3
2020/10/11, 56, 18, 3, 5, 2
2020/10/12, 45, 18, 2, 4, 2
2020/10/13, 31, 18, 3, 3, 1
2020/10/14, 27, 16, 4, 3, 2
2020/10/15, 27, 16, 3, 3, 3
2020/10/16, 22, 17, 3, 3, 4
2020/10/17, 24, 26, 5, 14, 13
2020/10/18, 40, 17, 2, 5, 4
2020/10/19, 37, 16, 2, 5, 3
2020/10/20, 47, 16, 3, 5, 4
2020/10/21, 49, 17, 2, 5, 3
2020/10/22, 49, 29, 3, 3, 9
2020/10/23, 41, 19, 1, 1, 3
2020/10/24, 34, 17, , 1, 4
2020/10/25, 38, 15, 3, 2, 3
2020/10/26, 40, 16, 1, 1, 3
2020/10/27, 44, 16, 4, 1, 3
2020/10/28, 38, 27, 7, 2, 10
2020/10/29, 34, 16, 7, 2, 2
2020/10/30, 45, 17, 5, 2, 1
2020/10/31, 42, 18, 6, 2, 1
2020/11/1, 40, 17, 4, 2, 2
2020/11/2, 34, 18, 5, 3, 3
2020/11/3, 38, 44, 4, 2, 11
2020/11/4, 39, 17, 5, 2, 3
2020/11/5, 30, 15, 6, 2, 2
2020/11/6, 33, 16, 4, 2, 3
2020/11/7, 50, 16, 3, 2, 3
2020/11/8, 40, 15, 4, 2, 1
2020/11/9, 34, 15, 4, 2, 2
2020/11/10, 40, 15, 5, 2, 2
2020/11/11, 39, 32, 3, 9, 9
2020/11/12, 28, 15, 3, 2, 2
2020/11/13, 25, 14, 3, 2, 2
2020/11/14, 22, 16, 4, 2, 3
2020/11/15, 37, 15, 2, 2, 2
2020/11/16, 47, 16, 3, 10, 3
2020/11/17, 45, 16, 3, 3, 3
2020/11/18, 36, 47, 3, 2, 7
2020/11/19, 38, 17, 3, 3, 2
2020/11/20, 35, 16, 3, 2, 3
2020/11/21, 33, 14, 5, 3, 2
2020/11/22, 42, 12, 3, 2, 2
2020/11/23, 47, 13, 3, 2, 3
2020/11/24, 42, 12, 4, 2, 2
2020/11/25, 46, 43, 4, 2, 12
2020/11/26, 54, 12, 7, 4, 2
2020/11/27, 51, 12, 4, 3, 3
2020/11/28, 40, 12, 5, 2, 3
2020/11/29, 48, 12, 3, 2, 3
2020/11/30, 49, 16, 3, 2, 3
2020/12/1, 49, 14, 3, 2, 3
2020/12/2, 45, 14, 3, 2, 2
2020/12/3, 41, 15, 3, 2, 3
2020/12/4, 42, 14, 3, 3, 3
2020/12/5, 38, 19, 4, 3, 7
2020/12/6, 51, 16, 3, 3, 3
