date, pm25, pm10, o3, no2, so2, co
2020/10/2, 54, 45, 28, 18, , 5
2020/10/3, 56, 36, 30, 13, , 4
2020/10/4, 54, 31, 31, 10, , 3
2020/10/5, 46, 50, 30, 23, , 5
2020/10/6, 64, 51, 31, 18, , 4
2020/10/7, 63, 56, 38, 23, , 6
2020/10/8, 72, 55, 38, 21, , 5
2020/10/9, 69, 60, 42, 29, , 6
2020/10/10, 73, 60, 52, 18, , 5
2020/10/11, 67, 56, 55, 18, , 5
2020/10/12, 65, 46, 53, 15, , 5
2020/10/13, 60, 57, 30, 22, , 6
2020/10/14, 72, 57, 32, 20, , 5
2020/10/15, 79, 67, 58, 29, , 6
2020/10/16, 89, 58, 30, 21, , 6
2020/10/17, 76, 64, 41, 24, , 8
2020/10/18, 98, 50, 40, 13, , 6
2020/10/19, 78, 51, 32, 16, , 5
2020/10/20, 62, 52, 40, 19, , 5
2020/10/21, 56, 53, 31, 18, , 6
2020/10/22, 57, 58, 42, 18, , 5
2020/10/23, 66, 59, 43, 19, , 4
2020/10/24, 68, 53, 34, 14, , 4
2020/10/25, 63, 32, 26, 5, , 3
2020/10/26, 45, 48, 35, 18, , 5
2020/10/27, 68, 48, 10, 21, , 5
2020/10/28, 53, 45, 30, 15, , 5
2020/10/29, 51, 53, 40, 22, , 6
2020/10/30, 55, 57, 41, 29, , 49
2020/10/31, 66, 57, 47, 18, , 47
2020/11/1, 81, 49, 39, 12, , 44
2020/11/2, 74, 52, 33, 21, , 45
2020/11/3, 66, 55, 50, 22, , 45
2020/11/4, 76, 53, 30, 16, , 43
2020/11/5, 73, 51, 35, 16, , 4
2020/11/6, 66, 59, 41, 21, , 4
2020/11/7, 62, 58, 60, 22, , 6
2020/11/8, 75, 50, 32, 11, , 4
2020/11/9, 92, 50, 40, 17, , 4
2020/11/10, 92, 55, 35, 16, , 4
2020/11/11, 80, 52, 35, 15, , 4
2020/11/12, 66, 53, 42, 17, , 4
2020/11/13, 61, 47, 18, 15, , 4
