date, pm25, pm10, o3, no2, so2, co
2020/10/2, 52, 25, 13, 5, , 11
2020/10/3, 73, 21, 14, 5, , 12
2020/10/4, 63, 15, 15, 1, , 11
2020/10/5, 57, 21, 14, 3, , 13
2020/10/6, 57, 21, 18, 3, , 15
2020/10/7, 42, 22, 17, 5, , 4
2020/10/8, 38, 27, 17, 6, , 6
2020/10/9, 61, 26, 17, 5, , 6
2020/10/10, 51, 23, 18, 2, , 5
2020/10/11, 40, 21, 15, 15, , 7
2020/10/12, 41, 23, 17, 8, , 9
2020/10/13, 52, 29, 20, 4, , 8
2020/10/14, 50, 24, 13, 4, , 8
2020/10/15, 45, 34, 28, 4, 8, 19
2020/10/16, 59, 29, 14, 3, , 3
2020/10/17, 59, 14, 13, 1, , 1
2020/10/18, 46, 11, 15, 1, , 
2020/10/19, 37, 21, 18, 4, , 
2020/10/20, 29, 23, 21, 4, , 2
2020/10/21, 35, 25, 36, 4, 6, 6
2020/10/22, 47, 29, 30, 3, , 3
2020/10/23, 53, 28, 26, 3, , 3
2020/10/24, 52, 17, 18, 1, , 3
2020/10/25, 31, 9, 21, 11, , 4
2020/10/26, 25, 12, 23, 2, , 5
2020/10/27, 31, 10, 14, 5, , 6
2020/10/28, 34, 14, 20, 1, , 6
2020/10/29, 41, 21, 18, 8, 5, 9
2020/10/30, 48, 35, 23, 6, , 8
2020/10/31, 63, 31, 20, 5, , 8
2020/11/1, 61, 17, 14, , , 7
2020/11/2, 46, 23, 22, 1, , 8
2020/11/3, 46, 31, 26, 2, , 8
2020/11/4, 52, 27, 16, 2, , 9
2020/11/5, 53, 29, 19, 3, , 3
2020/11/6, 50, 35, 19, 7, , 6
2020/11/7, 56, 31, 21, 5, , 7
2020/11/8, 57, 23, 16, , , 6
2020/11/9, 52, 28, 19, 4, , 7
2020/11/10, 50, 27, 36, 1, 2, 7
2020/11/11, 48, 24, 9, 2, , 4
2020/11/12, 39, 30, 14, 1, , 5
2020/11/13, 48, 24, 9, 1, , 5
2020/11/14, 47, 19, 9, 7, , 5
2020/11/15, 34, 19, 11, 3, , 5
2020/11/16, 40, 26, 12, 4, , 6
2020/11/17, 48, 28, 7, 4, , 7
2020/11/18, 50, 25, 13, 4, , 6
2020/11/19, 41, 24, 6, 1, , 5
2020/11/20, 41, 17, 7, 1, , 6
2020/11/21, 27, 16, 8, 3, , 6
2020/11/22, 27, 17, 10, 1, , 7
2020/11/23, 27, 18, 6, 2, , 7
2020/11/24, 24, 20, 7, 1, , 7
2020/11/25, 28, 26, 7, 1, , 8
2020/11/26, 36, 34, 10, 4, , 9
2020/11/27, 43, 46, 23, 3, , 8
2020/11/28, 58, 33, 8, 2, , 4
2020/11/29, 46, 20, 8, 3, , 5
2020/11/30, 30, 28, 12, 6, , 6
2020/12/1, 43, 31, 11, 4, , 8
2020/12/2, 47, 33, 10, 3, , 9
2020/12/3, 45, 32, 9, 2, , 6
2020/12/4, 39, 32, 12, 2, , 7
2020/12/5, 43, 30, 12, 3, , 8
2020/12/6, 62, 27, 12, 2, , 9
2020/12/7, 59, 24, 7, 2, , 9
2020/12/8, 48, 20, 7, 3, , 9
2020/12/9, 37, 27, 11, 2, , 10
2020/12/10, 43, 26, 5, 3, , 10
2020/12/11, 45, 24, 7, 2, , 11
2020/12/12, 38, 21, 7, 1, 6, 14
2020/12/13, 36, 20, 15, 2, , 9
2020/12/14, 33, 23, 9, 1, , 9
2020/12/15, 37, 25, 19, 3, 3, 9
2020/12/16, 37, 26, 14, 3, , 7
2020/12/17, 51, 30, 13, 5, , 9
2020/12/18, 63, 23, 4, 1, , 8
2020/12/19, 50, 16, 7, 2, , 7
2020/12/20, 36, 17, 8, 4, , 28
2020/12/21, 39, 23, 20, 4, 6, 8
2020/12/22, 38, 29, 12, 2, , 11
2020/12/23, 40, 27, 10, 2, , 13
2020/12/24, 38, 26, 11, 3, , 14
2020/12/25, 41, 21, 10, 3, , 17
2020/12/26, 34, 18, 10, 1, , 18
2020/12/27, 28, 13, 5, , , 20
2020/12/28, 25, 23, 10, 3, , 23
2020/12/29, 37, 20, 6, 1, , 24
2020/12/30, 32, 27, 14, 3, 5, 21
2020/12/31, 30, 24, 12, 1, , 1
2021/1/1, 35, 24, 9, 2, , 2
2021/1/2, 45, 22, 4, 3, , 2
2021/1/3, 44, , , , , 
2020/7/2, 90, 38, 11, 8, , 16
2020/7/3, 91, 35, 10, 10, , 11
2020/7/4, 101, 31, 14, 8, , 13
2020/7/5, 93, 21, 18, 7, , 7
2020/7/6, 63, 39, 9, 10, , 15
2020/7/7, 83, 57, 21, 8, , 17
2020/7/8, 151, 40, 19, 14, , 15
2020/7/9, 79, 72, 16, 13, 9, 31
2020/7/10, 160, 50, 15, 8, , 11
2020/7/11, 83, 60, 16, 10, , 24
2020/7/12, 131, 84, 15, 10, , 34
2020/7/13, 159, 102, 10, 7, , 39
2020/7/14, 186, 83, 11, 11, 1, 29
2020/7/15, 161, 91, 10, 20, , 32
2020/7/16, 179, 67, 10, 10, , 16
2020/7/17, 169, 31, 22, 5, , 7
2020/7/18, 98, 11, 14, 4, , 5
2020/7/19, 40, 18, 15, 9, , 9
2020/7/20, 39, 27, 12, 11, , 11
2020/7/21, 81, 26, 15, 10, , 10
2020/7/22, 81, 89, 16, 12, , 37
2020/7/23, 122, 139, 13, 13, 1, 55
2020/7/24, 204, 96, 14, 11, 7, 37
2020/7/25, 190, 88, 6, 15, 1, 34
2020/7/26, 175, 78, 7, 10, , 25
2020/7/27, 170, 52, 30, 10, 7, 19
2020/7/28, 155, 54, 14, 8, , 19
2020/7/29, 69, 106, 8, 12, 1, 36
2020/7/30, 173, 94, 7, 14, 1, 31
2020/7/31, 187, 97, 6, 15, 1, 35
2020/8/1, 181, 80, 10, 9, , 20
2020/8/2, 183, 48, 9, 5, , 18
2020/8/3, 145, 40, 8, 5, 4, 14
2020/8/4, 88, 54, 11, 9, , 16
2020/8/5, 150, 39, 17, 6, , 10
2020/8/6, 105, 22, 18, 6, , 8
2020/8/7, 58, 53, 15, 6, 1, 16
2020/8/8, 68, 97, 16, 7, 1, 29
2020/8/9, 165, 81, 15, 6, , 23
2020/8/10, 172, 19, 20, 3, , 6
2020/8/11, 70, 15, 18, 3, , 6
2020/8/12, 41, 35, 15, 5, , 11
2020/8/13, 58, 61, 76, 8, 7, 19
2020/8/14, 148, 34, 13, 10, , 10
2020/8/15, 82, 37, 13, 7, , 12
2020/8/16, 95, 35, 13, 8, , 13
2020/8/17, 63, 92, 26, 12, 6, 33
2020/8/18, 151, 75, 12, 10, , 23
2020/8/19, 168, 44, 13, 9, , 13
2020/8/20, 114, 44, 14, 12, 1, 15
2020/8/21, 85, 94, 16, 16, 1, 28
2020/8/22, 175, 91, 19, 8, , 23
2020/8/23, 179, 37, 16, 5, , 7
2020/8/24, 90, 23, 37, 5, 5, 10
2020/8/25, 61, 9, 14, 5, , 7
2020/8/26, 40, 25, 15, 5, , 11
2020/8/27, 45, 52, 15, 5, , 19
2020/8/28, 133, 28, 10, 8, , 10
2020/8/29, 72, 21, 12, 4, , 8
2020/8/30, 69, 21, 15, 8, , 9
2020/8/31, 55, 49, 14, 5, , 18
2020/9/1, 102, 45, 36, 7, 6, 18
2020/9/2, 95, 53, 13, 8, , 15
2020/9/3, 109, 41, 13, 8, , 16
2020/9/4, 100, 28, 11, 5, , 16
2020/9/5, 72, 36, 11, 7, , 23
2020/9/6, 88, 62, 11, 6, , 33
2020/9/7, 156, 53, 8, 7, , 31
2020/9/8, 129, 32, 13, 7, 5, 18
2020/9/9, 90, 25, 10, 7, , 10
2020/9/10, 78, 19, 9, 4, , 11
2020/9/11, 65, 25, 14, 6, , 11
2020/9/12, 65, 29, 13, 7, , 15
2020/9/13, 80, 15, 13, 1, , 13
2020/9/14, 48, 27, 14, 6, , 17
2020/9/15, 64, 51, 43, 5, 6, 24
2020/9/16, 123, 43, 10, 6, , 11
2020/9/17, 96, 45, 11, 7, , 13
2020/9/18, 105, 19, 13, 2, , 8
2020/9/19, 54, 13, 12, 4, , 8
2020/9/20, 37, 17, 14, 3, , 11
2020/9/21, 58, 29, 14, 8, , 13
2020/9/22, 65, 35, 34, 11, 4, 12
2020/9/23, 75, 42, 14, 9, , 9
2020/9/24, 84, 51, 18, 8, , 10
2020/9/25, 94, 23, 12, 3, , 6
2020/9/26, 61, 17, 13, , , 7
2020/9/27, 53, 33, 14, 12, , 14
2020/9/28, 93, 38, 14, 4, , 13
2020/9/29, 98, 16, 12, 2, , 7
2020/9/30, 43, 11, 12, 4, , 8
2020/10/1, 34, 19, 14, 6, , 9
2020/4/2, 56, 47, 44, 26, 10, 14
2020/4/3, 61, 49, 21, 12, 1, 7
2020/4/4, 65, 32, 16, 5, 1, 3
2020/4/5, 45, 23, 16, 1, 1, 2
2020/4/6, 41, 28, 17, 8, 1, 3
2020/4/7, 34, 56, 41, 18, 4, 10
2020/4/8, 66, 62, 23, 12, 1, 8
2020/4/9, 100, 44, 13, 11, 1, 5
2020/4/10, 64, 51, 22, 11, 1, 8
2020/4/11, 88, 42, 12, 6, 1, 5
2020/4/12, 86, 32, 16, 7, 1, 4
2020/4/13, 67, 39, 19, 12, 1, 6
2020/4/14, 60, 62, 25, 20, 1, 11
2020/4/15, 92, 63, 22, 17, 1, 7
2020/4/16, 108, 49, 28, 17, 6, 9
2020/4/17, 75, 63, 20, 14, 2, 10
2020/4/18, 83, 52, 10, 6, 1, 7
2020/4/19, 77, 18, 16, 2, 1, 2
2020/4/20, 29, 24, 18, 5, 1, 3
2020/4/21, 29, 42, 26, 9, 7, 9
2020/4/22, 43, 69, 29, 15, , 8
2020/4/23, 111, 42, 17, 4, , 2
2020/4/24, 76, 14, 9, 6, , 2
2020/4/25, 28, 9, 10, 5, , 3
2020/4/26, 28, 15, 11, 4, , 6
2020/4/27, 47, 13, 10, 7, , 3
2020/4/28, 38, 19, 25, 6, 3, 7
2020/4/29, 52, 35, 13, 7, , 9
2020/4/30, 60, 63, 14, 9, , 17
2020/5/1, 129, 61, 21, 10, , 16
