date, pm25, pm10, so2
2020/10/2, 43, , 
2020/10/3, 49, , 
2020/10/4, 44, , 
2020/10/5, 36, , 
2020/10/6, 46, , 
2020/10/7, 51, , 
2020/10/8, 55, , 
2020/10/9, 62, , 
2020/10/10, 62, , 
2020/10/11, 56, , 
2020/10/12, 53, , 
2020/10/13, 36, , 
2020/10/14, 38, , 
2020/10/15, 30, , 
2020/10/16, 31, , 
2020/10/17, 27, , 
2020/10/18, 36, , 
2020/10/19, 49, , 
2020/10/20, 53, , 
2020/10/21, 53, , 
2020/10/22, 52, , 
2020/10/23, 43, , 
2020/10/24, 34, , 
2020/10/25, 32, , 
2020/10/26, 34, , 
2020/10/27, 44, , 
2020/10/28, 40, , 
2020/10/29, 44, , 
2020/10/30, 63, , 
2020/10/31, 52, , 
2020/11/1, 46, , 
2020/11/2, 40, , 
2020/11/3, 33, , 
2020/11/4, 39, , 
2020/11/5, 31, , 
2020/11/6, 40, , 
2020/11/7, 53, , 
2020/11/8, 50, , 
2020/11/9, 35, , 
2020/11/10, 35, , 
2020/11/11, 26, , 
2020/11/12, 21, , 
2020/11/13, 21, , 
2020/11/14, 19, , 
2020/11/15, 30, , 
2020/11/16, 40, , 
2020/11/17, 33, , 
2020/11/18, 27, , 
2020/11/19, 28, , 
2020/11/20, 27, , 
2020/11/21, 20, , 
2020/11/22, 24, , 
2020/11/23, 29, , 
2020/11/24, 33, , 
2020/11/25, 37, , 
2020/11/26, 51, , 
2020/11/27, 53, , 
2020/11/28, 54, , 
2020/11/29, 43, , 
2020/11/30, 39, , 
2020/12/1, 52, , 
2020/12/2, 48, , 
2020/12/3, 44, , 
2020/12/4, 50, , 
2020/12/5, 51, , 
2020/12/6, 50, , 
2020/12/7, 41, , 
2020/12/8, 29, , 
2020/12/9, 27, , 
2020/12/10, 41, , 
2020/12/11, 46, , 
2020/12/12, 44, , 
2020/12/13, 46, , 
2020/12/14, 43, , 
2020/12/15, 44, , 
2020/12/16, 45, , 
2020/12/17, 43, , 
2020/12/18, 36, , 
2020/12/19, 36, , 
2020/12/20, 38, , 
2020/12/21, 37, , 
2020/12/22, 39, , 
2020/12/23, 39, , 
2020/12/24, 24, , 
2020/12/25, 22, , 
2020/12/26, 29, , 
2020/12/27, 27, , 
2020/12/28, 31, , 
2020/12/29, 22, , 
2020/12/30, 24, , 
2020/12/31, 38, , 
2021/1/1, 50, , 
2021/1/2, 48, , 
2021/1/3, 31, , 
2021/1/4, 28, , 
2020/7/2, 55, , 
2020/7/3, 65, , 
2020/7/4, 61, , 
2020/7/5, 69, , 
2020/7/6, 37, , 
2020/7/7, 56, , 
2020/7/8, 46, , 
2020/7/9, 59, , 
2020/7/10, 58, , 
2020/7/11, 69, , 
2020/7/12, 61, , 
2020/7/13, 62, , 
2020/7/14, 59, , 
2020/7/15, 75, , 
2020/7/16, 57, , 
2020/7/17, 50, , 
2020/7/18, 43, , 
2020/7/19, 39, , 
2020/7/20, 54, , 
2020/7/21, 54, , 
2020/7/22, 35, , 
2020/7/23, 27, , 
2020/7/24, 26, , 
2020/7/25, 44, , 
2020/7/26, 45, , 
2020/7/27, 60, , 
2020/7/28, 59, , 
2020/7/29, 64, , 
2020/7/30, 73, , 
2020/7/31, 66, , 
2020/8/1, 53, , 
2020/8/2, 58, , 
2020/8/3, 55, , 
2020/8/4, 47, , 
2020/8/5, 39, , 
2020/8/6, 38, , 
2020/8/7, 57, , 
2020/8/8, 55, , 
2020/8/9, 71, , 
2020/8/10, 64, , 
2020/8/11, 60, , 
2020/8/12, 62, , 
2020/8/13, 70, , 
2020/8/14, 52, , 
2020/8/15, 48, , 
2020/8/16, 58, , 
2020/8/17, 62, , 
2020/8/18, 67, , 
2020/8/19, 51, , 
2020/8/20, 49, , 
2020/8/21, 64, , 
2020/8/22, 61, , 
2020/8/23, 51, , 
2020/8/24, 37, , 
2020/8/25, 28, , 
2020/8/26, 36, , 
2020/8/27, 22, , 
2020/8/28, 30, , 
2020/8/29, 35, , 
