date, pm25, pm10, o3, no2, so2, co
2020/10/2, 51, 43, 30, 15, , 2
2020/10/3, 50, 35, 33, 10, , 2
2020/10/4, 43, 28, 34, 10, , 2
2020/10/5, 31, 42, 37, 16, , 3
2020/10/6, 43, 49, 34, 17, , 3
2020/10/7, 56, 52, 41, 17, , 3
2020/10/8, 60, 50, 41, 17, , 2
2020/10/9, 54, 53, 50, 19, , 3
2020/10/10, 57, 53, 65, 13, , 2
2020/10/11, 59, 43, 55, 10, , 2
2020/10/12, 49, 35, 64, 10, , 2
2020/10/13, 40, 51, 39, 17, , 3
2020/10/14, 54, 59, 41, 19, , 2
2020/10/15, 76, 60, 70, 19, , 2
2020/10/16, 75, 59, 38, 21, , 3
2020/10/17, 72, 52, 54, 14, , 2
2020/10/18, 65, 38, 42, 9, , 1
2020/10/19, 47, 45, 38, 13, , 2
2020/10/20, 51, 48, 111, 13, , 1
2020/10/21, 40, 51, 38, 15, , 2
2020/10/22, 44, 59, 50, 16, , 2
2020/10/23, 57, 60, 56, 17, , 2
2020/10/24, 63, 55, 43, 11, , 1
2020/10/25, 60, 36, 30, 7, , 
2020/10/26, 36, 42, 42, 13, , 1
2020/10/27, 38, 51, 8, 18, , 1
2020/10/28, 41, 48, 34, 14, , 1
2020/10/29, 45, 47, 44, 14, , 
2020/10/30, 43, 48, 46, 15, , 1
2020/10/31, 45, 50, 61, 12, , 1
2020/11/1, 56, 47, 49, 10, , 1
2020/11/2, 60, 49, 42, 17, , 2
2020/11/3, 55, 53, 62, 18, , 1
2020/11/4, 56, 55, 36, 15, , 1
2020/11/5, 61, 53, 41, 13, , 1
2020/11/6, 58, 56, 51, 15, , 1
2020/11/7, 52, 55, 68, 12, , 1
2020/11/8, 53, 49, 40, 8, , 1
2020/11/9, 55, 49, 47, 12, , 1
2020/11/10, 55, 52, 43, 12, , 1
2020/11/11, 56, 52, 41, 14, , 1
2020/11/12, 57, 54, 55, 14, , 2
2020/11/13, 58, 50, 20, 13, , 1
2020/11/14, 61, 40, 41, 9, , 1
2020/11/15, 54, 36, 40, 7, , 
2020/11/16, 43, 44, 36, 12, , 
2020/11/17, 35, 53, 23, 14, , 1
2020/11/18, 56, 54, 43, 14, , 1
2020/11/19, 59, 58, 34, 15, , 1
2020/11/20, 61, 45, 30, 12, , 1
2020/11/21, 56, 36, 45, 11, , 1
2020/11/22, 42, 37, 53, 8, , 1
2020/11/23, 34, 43, 37, 11, , 
2020/11/24, 37, 44, 113, 10, , 2
2020/11/25, 32, 43, 31, 11, , 3
2020/11/26, 29, 51, 43, 16, , 5
2020/11/27, 39, 56, 47, 19, , 5
