date, pm25, pm10
2020/1/2, 25, 
2020/1/3, 41, 
2020/1/4, 19, 
2020/1/5, 14, 
2020/1/6, 68, 
2020/2/2, 62, 
2020/2/3, 29, 
2020/2/4, 17, 
2020/2/5, 12, 
2020/2/6, 10, 
2020/2/7, 11, 
2020/2/8, 14, 
2020/2/9, 22, 
2020/2/10, 25, 
2020/2/11, 29, 
2020/2/12, 55, 
2020/2/13, 28, 
2020/2/14, 18, 
2020/2/15, 13, 
2020/2/16, 13, 
2020/2/17, 17, 
2020/2/18, 12, 
2020/2/19, 12, 
2020/2/20, 18, 
2020/2/21, 22, 
2020/2/22, 42, 
2020/2/23, 54, 
2020/2/24, 56, 
2020/2/25, 54, 
2020/2/26, 26, 
2020/2/27, 34, 
2020/2/28, 30, 
2020/2/29, 25, 
2020/3/1, 25, 
2020/3/2, 34, 
2019/12/29, 27, 
2019/12/30, 12, 
2018/10/2, 49, 
2018/10/3, 43, 
2018/10/5, 32, 
2018/10/6, 68, 
2018/10/7, 63, 
2018/10/8, 74, 
2018/10/9, 34, 
2018/10/10, 42, 
2018/10/11, 35, 
2018/10/12, 34, 
2018/10/13, 40, 
2018/10/14, 73, 
2018/10/15, 43, 
2018/10/16, 24, 
2018/10/17, 34, 
2018/10/18, 19, 
2018/10/19, 27, 
2018/10/20, 39, 
2018/10/21, 28, 
2018/10/22, 25, 
2018/10/23, 25, 
2018/10/24, 44, 
2018/10/25, 40, 
2018/10/26, 37, 
2018/10/27, 42, 
2018/10/28, 27, 
2018/10/29, 35, 
2018/10/30, 20, 
2018/10/31, 16, 
2018/11/1, 27, 
2018/11/2, 33, 
2018/11/3, 29, 
2018/11/4, 29, 
2018/11/5, 27, 
2018/11/6, 33, 
2018/11/7, 27, 
2018/11/8, 30, 
2018/11/9, 30, 
2018/11/10, 23, 
2018/11/11, 15, 
2018/11/12, 11, 
2018/11/13, 20, 
2018/11/14, 21, 
2018/11/15, 17, 
2018/11/16, 13, 
2018/11/17, 29, 
2018/11/18, 18, 
2018/11/19, 10, 
2018/11/20, 10, 
2018/11/21, 12, 
2018/11/22, 15, 
2018/11/23, 13, 
2018/11/24, 14, 
2018/11/27, 12, 
2018/11/28, 18, 
2018/11/29, 19, 
2018/11/30, 27, 
2018/12/1, 26, 
2018/12/2, 24, 
2018/12/3, 22, 
2018/12/4, 34, 
2018/12/5, 47, 
2018/12/6, 40, 
2018/12/7, 30, 
2018/12/8, 53, 
2018/12/9, 39, 
2018/12/10, 14, 
2018/12/11, 20, 
2018/12/12, 22, 
2018/12/13, 14, 
2018/12/14, 15, 
2018/12/15, 12, 
2018/12/16, 15, 
2018/12/17, 13, 
2018/12/18, 7, 
2018/12/19, 19, 
2018/12/20, 21, 
2018/12/21, 17, 
2018/12/22, 63, 
2018/12/23, 77, 
2018/12/24, 68, 
2018/12/25, 59, 
2018/12/26, 55, 
2018/12/27, 85, 
2018/12/28, 37, 
2018/12/29, 17, 
2018/12/30, 18, 
2018/12/31, 17, 
2018/7/2, 82, 
2018/7/3, 48, 
2018/7/4, 52, 
2018/7/5, 31, 
2018/7/6, 11, 
2018/7/7, 14, 
2018/7/8, 32, 
2018/7/9, 79, 
2018/7/10, 72, 
2018/7/11, 147, 
2018/7/12, 154, 
2018/7/13, 125, 
2018/7/14, 68, 
2018/7/15, 40, 
2018/7/16, 69, 
2018/7/17, 81, 
2018/7/18, 65, 
2018/7/19, 106, 
2018/7/20, 155, 
2018/7/21, 163, 
2018/7/22, 183, 
2018/7/23, 110, 
2018/7/24, 59, 
2018/7/25, 60, 
2018/7/26, 156, 
2018/7/27, 177, 
2018/7/28, 170, 
2018/7/29, 189, 
2018/7/30, 170, 
2018/7/31, 152, 
2018/8/1, 60, 
2018/8/2, 74, 
2018/8/3, 139, 
2018/8/4, 76, 
2018/8/5, 121, 
2018/8/6, 72, 
2018/8/7, 28, 
2018/8/8, 37, 
2018/8/9, 63, 
2018/8/10, 108, 
2018/8/11, 161, 
2018/8/12, 144, 
2018/8/13, 108, 
2018/8/14, 72, 
2018/8/15, 37, 
2018/8/16, 65, 
2018/8/17, 152, 
2018/8/18, 135, 
2018/8/19, 57, 
2018/8/20, 39, 
2018/8/21, 58, 
2018/8/22, 130, 
2018/8/23, 102, 
2018/8/24, 44, 
2018/8/25, 56, 
