date, pm25, so2
2020/10/2, 101, 
2020/10/3, 100, 
2020/10/4, 94, 
2020/10/5, 109, 
2020/10/6, 90, 
2020/10/7, 95, 
2020/10/8, 104, 
2020/10/9, 109, 
2020/10/10, 102, 
2020/10/11, 78, 
2020/10/12, 74, 
2020/10/13, 74, 
2020/10/14, 79, 
2020/10/15, 70, 
2020/10/16, 62, 
2020/10/17, 68, 
2020/10/18, 64, 
2020/10/19, 81, 
2020/10/20, 94, 
2020/10/21, 78, 
2020/10/22, 55, 
2020/10/23, 88, 
2020/10/24, 82, 
2020/10/25, 88, 
2020/10/26, 91, 
2020/10/27, 100, 
2020/10/28, 104, 
2020/10/29, 76, 
2020/10/30, 67, 
2020/10/31, 44, 
2020/11/1, 38, 
2020/11/2, 46, 
2020/11/3, 67, 
2020/11/4, 82, 
2020/11/5, 70, 
2020/11/6, 79, 
2020/11/7, 63, 
2020/11/8, 25, 
2020/11/9, 41, 
2020/11/10, 42, 
2020/11/11, 41, 
2020/11/12, 57, 
2020/11/13, 60, 
2020/11/14, 69, 
2020/11/15, 71, 
2020/11/16, 52, 
2020/11/17, 25, 
2020/11/18, 22, 
2020/11/19, 55, 
2020/11/20, 50, 
2020/11/21, 55, 
2020/11/22, 60, 
2020/11/23, 56, 
2020/11/24, 55, 
2020/11/25, 72, 
2020/11/26, 75, 
2020/11/27, 72, 
2020/11/28, 55, 
2020/11/29, 69, 
2020/11/30, 69, 
2020/12/1, 27, 
2020/12/2, 53, 
2020/12/3, 61, 
2020/12/4, 39, 
2020/12/5, 25, 
2020/12/6, 34, 
2020/12/7, 41, 
2020/12/8, 37, 
2020/12/9, 41, 
2020/12/10, 42, 
2020/12/11, 59, 
2020/12/12, 70, 
2020/12/13, 81, 
2020/12/14, 73, 
2020/12/15, 59, 
2020/12/16, 48, 
2020/12/17, 36, 
2020/12/18, 31, 
2020/12/19, 28, 
2020/12/20, 44, 
2020/12/21, 46, 
2020/12/22, 26, 
2020/12/23, 25, 
2020/12/24, 32, 
2020/12/25, 56, 
2020/12/26, 52, 
2020/12/27, 13, 
2020/12/28, 8, 
2020/12/29, 22, 
2020/12/30, 43, 
2020/12/31, 57, 
2021/1/1, 52, 
2021/1/2, 19, 
2021/1/3, 15, 
2021/1/4, 21, 
2020/7/2, 59, 
2020/7/3, 73, 
2020/7/4, 73, 
2020/7/5, 84, 
2020/7/6, 109, 
2020/7/7, 170, 
2020/7/8, 184, 
2020/7/9, 82, 
2020/7/10, 80, 
2020/7/11, 89, 
2020/7/12, 107, 
2020/7/13, 157, 
2020/7/14, 287, 
2020/7/15, 175, 
2020/7/16, 115, 
2020/7/17, 143, 
2020/7/18, 64, 
2020/7/19, 56, 
2020/7/20, 54, 
2020/7/21, 75, 
2020/7/22, 160, 
2020/7/23, 139, 
2020/7/24, 181, 
2020/7/25, 167, 
2020/7/26, 73, 
2020/7/27, 102, 
2020/7/28, 132, 
2020/7/29, 162, 
2020/7/30, 198, 
2020/7/31, 131, 
2020/8/1, 52, 
2020/8/2, 49, 
2020/8/3, 84, 
2020/8/4, 78, 
2020/8/5, 164, 
2020/8/6, 102, 
2020/8/7, 124, 
2020/8/8, 83, 
2020/8/9, 71, 
2020/8/10, 74, 
2020/8/11, 106, 
2020/8/12, 144, 
2020/8/13, 115, 
2020/8/14, 100, 
2020/8/15, 94, 
2020/8/16, 148, 
2020/8/17, 114, 
2020/8/18, 129, 
2020/8/19, 115, 
2020/8/20, 160, 
2020/8/21, 75, 
2020/8/22, 54, 
2020/8/23, 64, 
2020/8/24, 100, 
2020/8/25, 70, 
2020/8/26, 71, 
2020/8/27, 132, 
2020/8/28, 64, 
2020/8/29, 84, 
2020/8/30, 97, 
2020/8/31, 159, 
2020/9/1, 68, 
2020/9/2, 93, 
2020/9/3, 157, 
2020/9/4, 142, 
2020/9/5, 151, 
2020/9/6, 195, 
2020/9/7, 235, 
2020/9/8, 179, 
2020/9/9, 103, 
2020/9/10, 96, 
2020/9/11, 94, 
2020/9/12, 96, 
2020/9/13, 95, 
2020/9/14, 109, 
2020/9/15, 181, 
2020/9/16, 110, 
2020/9/17, 154, 
2020/9/18, 114, 
2020/9/19, 106, 
2020/9/20, 61, 
2020/9/21, 73, 
2020/9/22, 142, 
2020/9/23, 97, 
2020/9/24, 98, 
2020/9/25, 56, 
2020/9/26, 77, 
2020/9/27, 102, 
2020/9/28, 94, 
2020/9/29, 86, 
2020/9/30, 74, 
2020/10/1, 101, 
2020/4/2, 57, 
2020/4/3, 39, 
2020/4/4, 32, 
2020/4/5, 61, 
2020/4/6, 116, 
2020/4/7, 134, 
2020/4/8, 52, 
2020/4/9, 80, 
2020/4/10, 91, 
2020/4/11, 81, 
2020/4/12, 104, 
2020/4/13, 62, 
2020/4/14, 134, 
2020/4/15, 173, 
2020/4/16, 81, 
2020/4/17, 49, 
2020/4/18, 52, 
2020/4/19, 87, 
2020/4/20, 62, 
2020/4/21, 112, 
2020/4/22, 51, 
2020/4/23, 158, 
2020/4/24, 157, 
2020/4/25, 64, 
2020/4/26, 52, 
2020/4/27, 120, 
2020/4/28, 66, 
2020/4/29, 58, 
2020/4/30, 89, 
2020/5/1, 80, 
2020/5/2, 99, 
2020/5/3, 68, 
2020/5/4, 56, 
2020/5/5, 67, 
2020/5/6, 297, 
2020/5/7, 158, 
2020/5/8, 139, 
2020/5/9, 127, 
2020/5/10, 53, 
2020/5/11, 68, 
2020/5/12, 94, 
2020/5/13, 170, 
2020/5/14, 139, 
2020/5/15, 68, 
2020/5/16, 51, 
2020/5/17, 56, 
2020/5/18, 153, 
2020/5/19, 74, 
2020/5/20, 161, 
2020/5/21, 101, 
2020/5/22, 146, 
2020/5/23, 184, 
2020/5/24, 133, 
2020/5/25, 51, 
2020/5/26, 209, 
2020/5/27, 174, 
2020/5/28, 176, 
2020/5/29, 235, 
2020/5/30, 241, 
2020/5/31, 201, 
2020/6/1, 117, 
2020/6/2, 186, 
2020/6/3, 78, 
2020/6/4, 105, 
2020/6/5, 186, 
2020/6/6, 53, 
2020/6/7, 55, 
2020/6/8, 88, 
2020/6/9, 58, 
2020/6/10, 79, 
2020/6/11, 60, 
2020/6/12, 53, 
2020/6/13, 99, 
2020/6/14, 142, 
2020/6/15, 65, 
2020/6/16, 123, 
2020/6/17, 53, 
2020/6/18, 63, 
2020/6/19, 54, 
2020/6/20, 72, 
2020/6/21, 89, 
2020/6/22, 139, 
2020/6/23, 62, 
2020/6/24, 82, 
2020/6/25, 93, 
2020/6/26, 134, 
2020/6/27, 117, 
2020/6/28, 137, 
2020/6/29, 149, 
2020/6/30, 157, 
2020/7/1, 151, 
2020/1/2, 15, 
2020/1/3, 17, 
2020/1/4, 11, 
2020/1/5, 14, 
2020/1/6, 20, 
2020/1/7, 41, 
2020/1/8, 32, 
2020/1/9, 42, 
2020/1/10, 61, 
2020/1/11, 74, 
2020/1/12, 28, 
2020/1/13, 9, 
2020/1/14, 13, 
2020/1/15, 19, 
2020/1/16, 36, 
2020/1/17, 25, 
2020/1/18, 11, 
2020/1/19, 13, 
2020/1/20, 21, 
2020/1/21, 21, 
2020/1/22, 11, 
2020/1/23, 7, 
2020/1/24, 8, 
2020/1/25, 16, 
2020/1/26, 16, 
2020/1/27, 13, 
2020/1/28, 21, 
2020/1/29, 30, 
2020/1/30, 22, 
2020/1/31, 16, 
2020/2/1, 25, 
2020/2/2, 19, 
2020/2/3, 62, 
2020/2/4, 23, 
2020/2/5, 37, 
2020/2/6, 68, 
2020/2/7, 29, 
2020/2/8, 20, 
2020/2/9, 9, 
2020/2/10, 10, 
2020/2/11, 10, 
2020/2/12, 22, 
2020/2/13, 24, 
2020/2/14, 27, 
2020/2/15, 39, 
2020/2/16, 51, 
2020/2/17, 44, 
2020/2/18, 32, 
2020/2/19, 32, 
2020/2/20, 23, 
2020/2/21, 16, 
2020/2/22, 22, 
2020/2/23, 33, 
2020/2/24, 24, 
2020/2/25, 34, 
2020/2/26, 56, 
2020/2/27, 13, 
2020/2/28, 9, 
2020/2/29, 9, 
2020/3/1, 7, 
2020/3/2, 8, 
2020/3/3, 8, 
2020/3/4, 38, 
2020/3/5, 34, 
2020/3/6, 14, 
2020/3/7, 16, 
2020/3/8, 59, 
2020/3/9, 52, 
2020/3/10, 11, 
2020/3/11, 57, 
2020/3/12, 37, 
2020/3/13, 17, 
2020/3/14, 57, 
2020/3/15, 98, 
2020/3/16, 25, 
2020/3/17, 21, 
2020/3/18, 42, 
2020/3/19, 23, 
2020/3/20, 42, 
2020/3/21, 33, 
2020/3/22, 36, 
2020/3/23, 27, 
2020/3/24, 44, 
2020/3/25, 41, 
2020/3/26, 31, 
2020/3/27, 20, 
2020/3/28, 39, 
2020/3/29, 23, 
2020/3/30, 27, 
2020/3/31, 24, 
2020/4/1, 29, 
2019/10/2, 111, 
2019/10/3, 169, 
2019/10/4, 71, 
2019/10/5, 81, 
2019/10/6, 138, 
2019/10/7, 90, 
2019/10/8, 83, 
2019/10/9, 88, 
2019/10/10, 78, 
2019/10/11, 81, 
2019/10/12, 63, 
2019/10/13, 68, 
2019/10/14, 35, 
2019/10/15, 51, 
2019/10/16, 52, 
2019/10/17, 58, 
2019/10/18, 62, 
2019/10/19, 53, 
2019/10/20, 28, 
2019/10/21, 45, 
2019/10/22, 64, 
2019/10/23, 41, 
2019/10/24, 34, 
2019/10/25, 41, 
2019/10/26, 49, 
2019/10/27, 53, 
2019/10/28, 68, 
2019/10/29, 59, 
2019/10/30, 46, 
2019/10/31, 105, 
2019/11/1, 54, 
2019/11/2, 46, 
2019/11/3, 88, 
2019/11/4, 84, 
2019/11/5, 77, 
2019/11/6, 94, 
2019/11/7, 75, 
2019/11/8, 65, 
2019/11/9, 24, 
2019/11/10, 24, 
2019/11/11, 16, 
2019/11/12, 12, 
2019/11/13, 12, 
2019/11/14, 26, 
2019/11/15, 42, 
2019/11/16, 35, 
