date, pm25, pm10, o3, no2, so2, co
2020/10/2, 84, 73, 14, 1, 18, 35
2020/10/3, 86, 50, 15, , 12, 21
2020/10/4, 59, 47, 12, , 8, 10
2020/10/5, 71, 65, 12, 1, 19, 24
2020/10/6, 63, 66, 12, , 14, 28
2020/10/7, 63, 75, 12, 1, 21, 30
2020/10/8, 75, 58, 11, 1, 15, 17
2020/10/9, 64, 58, 7, , 15, 37
2020/10/10, 68, 60, 11, , 15, 63
2020/10/11, 61, 53, 13, , 9, 22
2020/10/12, 56, 53, 12, , 15, 16
2020/10/13, 70, 63, 8, , 14, 50
2020/10/14, 72, 54, 12, , 6, 11
2020/10/15, 66, 63, 9, , 5, 8
2020/10/16, 80, 58, 13, , 4, 8
2020/10/17, 74, 23, 14, , 4, 6
2020/10/18, 43, 35, 13, , 6, 9
2020/10/19, 56, 63, 12, 1, 20, 23
2020/10/20, 62, 84, 12, , 22, 22
2020/10/21, 73, 60, 11, , 11, 18
2020/10/22, 65, 53, 12, , 9, 17
2020/10/23, 66, 39, 11, , 8, 24
2020/10/24, 49, 32, 6, , 3, 11
2020/10/25, 63, 46, 10, , 13, 24
2020/10/26, 62, 46, 11, , 9, 14
2020/10/27, 54, 31, 11, , 6, 7
2020/10/28, 39, 37, 9, , 10, 24
2020/10/29, 50, 51, 9, , 12, 39
2020/10/30, 64, 65, 8, , 6, 13
2020/10/31, 83, 41, 12, , 6, 16
2020/11/1, 67, 11, 12, , 5, 7
2020/11/2, 20, 18, 14, , 5, 7
2020/11/3, 33, , , , , 
2020/11/5, 69, 71, 8, 1, 16, 14
2020/11/6, 67, 65, 9, , 16, 25
2020/11/7, 59, 66, 9, , 19, 35
2020/11/8, 70, 53, 8, , 14, 21
2020/11/9, 65, 57, 12, 1, 12, 20
2020/11/10, 63, 52, 12, 3, 5, 9
2020/11/11, 61, 38, 13, 3, 8, 13
2020/11/12, 53, 47, 14, 3, 7, 24
2020/11/13, 54, 40, 12, 3, 8, 21
2020/11/14, 52, 62, 15, 3, 16, 21
2020/11/15, 61, 53, 14, 3, 11, 20
2020/11/16, 64, 55, 12, 2, 11, 24
2020/11/17, 66, 48, 16, 2, 3, 14
2020/11/18, 57, 27, 14, 2, 2, 6
2020/11/19, 40, 21, 15, 2, 5, 5
2020/11/20, 33, 19, 16, 2, 2, 5
2020/11/21, 22, 16, 13, 2, 2, 7
2020/11/22, 21, 32, 13, 2, 4, 14
2020/11/23, 39, 34, 14, 1, 5, 20
2020/11/24, 44, 33, 13, 2, 4, 18
2020/11/25, 43, 53, 14, 2, 17, 46
2020/11/26, 50, 89, 14, 2, 20, 48
2020/11/27, 71, 59, 13, 2, 18, 20
2020/11/28, 65, 39, 13, 2, 5, 9
2020/11/29, 50, 63, 13, 2, 11, 30
2020/11/30, 60, 66, 12, 2, 17, 20
2020/12/1, 70, 65, 13, 2, 23, 27
2020/12/2, 67, 61, 12, 2, 16, 30
2020/12/3, 59, 78, 12, 2, 17, 31
2020/12/4, 69, 70, 12, 2, 11, 22
2020/12/5, 73, 59, 15, 2, 4, 16
2020/12/6, 78, 38, 11, 2, 2, 8
2020/12/7, 59, 24, 10, 2, 2, 6
2020/12/8, 38, 37, 11, 2, 10, 16
2020/12/9, 41, 64, 12, 2, 24, 20
2020/12/10, 65, 45, 12, 2, 17, 30
2020/12/11, 55, 42, 14, 2, 6, 7
2020/12/12, 53, 40, 12, 2, 3, 12
2020/12/13, 50, 58, 15, 2, 13, 25
2020/12/14, 54, 64, 12, 2, 6, 18
2020/12/15, 55, 73, 16, 1, 16, 23
2020/12/16, 62, 67, 19, 2, 11, 20
2020/12/17, 72, 58, 18, 2, 3, 18
2020/12/18, 64, 51, 14, 2, 4, 9
2020/12/19, 58, 47, 14, 2, 17, 22
2020/12/20, 55, 54, 15, 2, 15, 26
2020/12/21, 54, 60, 16, 2, 13, 16
