date, pm25, pm10, o3, so2, co
2020/10/2, 53, 36, 28, , 2
2020/10/3, 63, 33, 26, , 2
2020/10/4, 59, 24, 25, 2, 2
2020/10/5, 34, 33, 30, 4, 3
2020/10/6, 50, 39, 31, 1, 130
2020/10/7, 50, 40, 22, , 1
2020/10/8, 50, 45, 22, 13, 1
2020/10/9, 52, 47, 25, 12, 
2020/10/10, 49, 48, 22, 1, 
2020/10/11, 45, 39, 22, , 
2020/10/12, 42, 32, 24, , 
2020/10/13, 38, 43, 22, , 
2020/10/14, 49, 43, 18, , 
2020/10/15, 57, 48, 29, , 6
2020/10/16, 61, 41, 13, 1, 
2020/10/17, 58, 38, 22, 1, 1
2020/10/18, 64, 34, 20, , 
2020/10/19, 55, 38, 22, 1, 4
2020/10/20, 39, 42, 27, 1, 
2020/10/21, 34, 45, 22, , 1
2020/10/22, 48, 47, 28, 2, 
2020/10/23, 49, 46, 27, , 
2020/10/24, 48, 39, 20, , 
2020/10/25, 38, 29, 14, , 
2020/10/26, 30, 28, 22, 1, 
2020/10/27, 36, 31, 8, , 1
2020/10/28, 35, 34, 19, , 
2020/10/29, 28, 35, 23, , 
2020/10/30, 34, 44, 26, , 
2020/10/31, 49, 45, 24, , 1
2020/11/1, 56, 36, 15, , 
2020/11/2, 52, 39, 22, , 1
2020/11/3, 48, 44, 30, , 1
2020/11/4, 53, 42, 18, , 5
2020/11/5, 50, 44, 22, 2, 1
2020/11/6, 41, 47, 31, , 1
2020/11/7, 53, 52, 30, , 
2020/11/8, 74, 41, 52, , 
2020/11/9, 43, 38, 27, , 
2020/11/10, 42, 47, 20, , 
2020/11/11, 53, 41, 16, , 
2020/11/12, 50, 40, 24, , 
2020/11/13, 47, 38, 7, , 
2020/11/14, 53, 30, 22, , 
2020/11/15, 43, 31, 20, , 1
2020/11/16, 34, 36, 23, , 
2020/11/17, 41, 37, 12, , 
2020/11/18, 50, 41, 24, , 6
2020/11/19, 50, 36, 9, , 
2020/11/20, 46, 23, 13, , 
2020/11/21, 32, 27, 22, 6, 
2020/11/22, 33, 29, 26, 1, 1
2020/11/23, 39, 30, 20, , 1
2020/11/24, 33, 33, 16, , 1
2020/11/25, 31, 46, 19, 1, 
2020/11/26, 30, 49, 21, , 6
2020/11/27, 37, 48, 24, , 1
2020/11/28, 51, 39, 22, , 1
2020/11/29, 42, 36, 21, , 1
2020/11/30, 31, 36, 26, , 1
2020/12/1, 31, 47, 22, , 1
2020/12/2, 47, 47, 27, , 2
2020/12/3, 46, 46, 24, , 4
2020/12/4, 41, 44, 23, , 1
2020/12/5, 27, 42, 22, , 2
2020/12/6, 47, 43, 27, , 2
2020/12/7, 53, 46, 21, , 4
2020/12/8, 49, 37, 28, , 2
2020/12/9, 35, 39, 34, , 2
2020/12/10, 39, 38, 16, , 2
2020/12/11, 35, 39, 25, , 1
2020/12/12, 31, 42, 20, , 2
2020/12/13, 33, 50, 22, , 1
2020/12/14, 30, 47, 19, , 2
2020/12/15, 29, 36, 22, , 2
2020/12/16, 23, 44, 33, , 2
2020/12/17, 44, 48, 26, , 2
2020/12/18, 46, 40, 16, , 2
2020/12/19, 36, 29, 19, , 2
2020/12/20, 30, 33, 25, , 1
2020/12/21, 31, 40, 32, , 1
2020/12/22, 36, 50, 33, , 2
2020/12/23, 45, 51, 21, , 1
2020/12/24, 47, 47, 28, , 2
2020/12/25, 41, 40, 29, , 2
2020/12/26, 34, 38, 18, , 2
2020/12/27, 32, 32, 16, , 2
2020/12/28, 36, 37, 22, , 2
2020/12/29, 30, 39, 24, , 2
2020/12/30, 30, 47, 23, 1, 1
2020/12/31, 27, 52, 28, , 2
2021/1/1, 42, 54, 22, , 2
2021/1/2, 56, 39, 16, , 1
2021/1/3, 48, 40, 27, , 1
2021/1/4, 45, , , , 
2020/7/2, 81, 49, 12, 15, 29
2020/7/3, 90, 69, 15, 12, 16
2020/7/4, 144, 39, 20, 2, 7
2020/7/5, 101, 21, 22, 2, 6
2020/7/6, 52, 50, 22, 1, 9
2020/7/7, 78, 83, 9, 1, 16
2020/7/8, 155, 68, 17, 4, 12
2020/7/9, 135, 51, 13, 9, 17
2020/7/10, 110, 91, 12, 5, 18
2020/7/12, 147, 55, 16, 19, 15
2020/7/13, 96, 71, 24, 5, 19
2020/7/14, 152, 74, 11, 10, 12
2020/7/15, 153, 59, 15, 4, 14
2020/7/16, 132, 73, 9, 14, 16
2020/7/17, 108, 89, 10, 8, 19
2020/7/18, 174, 75, 7, 9, 15
2020/7/19, 137, 77, 13, 11, 12
2020/7/20, 166, 34, 14, 5, 12
2020/7/21, 73, 35, 17, 5, 10
2020/7/22, 73, 47, 19, 3, 13
2020/7/23, 87, 63, 17, 2, 11
2020/7/24, 132, 75, 23, 5, 12
2020/7/25, 148, 102, 16, 16, 19
2020/7/26, 158, 96, 14, 19, 27
2020/7/27, 183, 58, 16, 3, 17
2020/7/28, 148, 43, 14, 8, 18
2020/7/29, 70, 82, 19, 9, 22
2020/7/30, 141, 82, 17, 11, 17
2020/7/31, 160, 95, 18, 13, 23
2020/8/1, 157, 92, 18, 2, 23
2020/8/2, 168, 65, 22, 4, 19
2020/8/3, 151, 48, 33, 10, 16
2020/8/4, 106, 54, 20, 3, 18
2020/8/5, 90, 43, 14, 9, 14
2020/8/6, 93, 29, 17, 5, 17
2020/8/7, 54, 48, 16, 4, 18
2020/8/8, 85, 65, 23, 4, 24
2020/8/9, 134, 61, 20, 4, 18
2020/8/10, 149, 34, 27, 2, 15
2020/8/11, 87, 34, 20, 2, 20
2020/8/12, 58, 49, 18, 2, 9
2020/8/13, 94, 50, 20, 2, 7
2020/8/14, 108, 34, 22, 2, 8
2020/8/15, 76, 26, 23, 2, 6
2020/8/16, 56, 44, 21, 5, 7
2020/8/17, 75, 51, 34, 2, 13
2020/8/18, 102, 64, 15, 2, 9
2020/8/19, 107, 67, 19, 2, 9
2020/8/20, 148, 76, 21, 9, 12
2020/8/21, 126, 79, 27, 15, 9
2020/8/22, 141, 71, 31, , 10
2020/8/23, 122, 55, 25, , 7
2020/8/24, 123, 34, 23, , 8
2020/8/25, 66, 35, 20, , 8
2020/8/26, 62, 27, 47, , 8
2020/8/27, 44, 37, 21, , 10
2020/8/28, 76, 31, 21, , 5
2020/8/29, 73, 19, 25, , 4
2020/8/30, 48, 27, 21, , 4
2020/8/31, 43, 45, 22, , 6
2020/9/1, 93, 49, 18, , 5
2020/9/2, 79, 51, 28, , 8
2020/9/3, 109, 47, 30, 1, 7
2020/9/4, 92, 54, 27, 3, 7
2020/9/5, 108, 47, 23, 1, 6
2020/9/6, 98, 42, 24, 2, 6
2020/9/7, 94, 33, 25, , 7
2020/9/8, 73, 36, 12, , 8
2020/9/9, 77, 31, 54, 3, 8
2020/9/10, 72, 30, 23, , 5
2020/9/11, 61, 27, 20, , 4
2020/9/12, 51, 33, 25, , 4
2020/9/13, 68, 25, 23, , 5
2020/9/14, 55, 35, 24, , 7
2020/9/15, 64, 42, 24, , 6
2020/9/16, 71, 44, 32, 2, 8
2020/9/17, 80, 42, 21, 1, 3
2020/9/18, 72, 31, 19, , 3
2020/9/19, 55, 28, 21, , 4
2020/9/20, 51, 30, 26, , 3
2020/9/21, 55, 39, 49, 1, 5
2020/9/22, 63, 50, 29, 4, 5
2020/9/23, 77, 56, 27, , 7
2020/9/24, 83, 55, 31, , 6
2020/9/25, 71, 32, 14, , 6
2020/9/26, 60, 18, 26, , 6
2020/9/27, 45, 23, 25, , 6
2020/9/28, 55, 30, 27, , 7
2020/9/29, 55, 27, 24, , 7
2020/9/30, 47, 28, 19, 1, 7
2020/10/1, 56, 31, 21, , 5
2020/4/2, 59, 70, 31, 1, 4
2020/4/3, 69, 80, 40, 1, 3
2020/4/4, 59, 65, 27, 1, 3
2020/4/5, 61, 51, 24, 1, 3
2020/4/6, 41, 53, 24, 3, 3
2020/4/7, 35, 60, 36, 1, 7
2020/4/8, 62, 62, 53, 1, 4
2020/4/9, 69, 56, 32, 1, 4
2020/4/10, 64, 49, 31, 1, 4
2020/4/11, 58, 50, 24, 2, 5
2020/4/12, 62, 50, 27, 1, 6
2020/4/13, 77, 53, 50, 2, 5
2020/4/14, 60, 56, 37, 1, 5
2020/4/15, 63, 62, 35, 1, 6
2020/4/17, 73, 67, 32, 2, 5
2020/4/18, 79, 61, 24, 2, 6
2020/4/19, 69, 56, 20, 1, 6
2020/4/20, 53, 61, 40, 1, 6
2020/4/21, 47, 74, 20, 2, 7
2020/4/22, 61, 69, 31, 1, 8
2020/4/23, 70, 59, 21, 1, 6
2020/4/24, 67, 54, 14, 1, 7
2020/4/25, 67, 54, 21, 2, 8
2020/4/26, 66, 54, 17, 1, 6
2020/4/27, 59, 49, 17, 11, 6
2020/4/28, 56, 31, 35, 9, 11
2020/4/29, 36, 42, 16, 1, 8
2020/4/30, 47, 52, 20, 1, 8
2020/5/1, 61, 59, 27, 2, 8
2020/5/2, 76, 60, 23, 1, 8
2020/5/3, 77, 61, 17, 1, 9
2020/5/4, 118, 38, 30, 1, 10
2020/5/6, 58, 58, 14, 4, 12
2020/5/7, 70, 74, 25, 2, 10
2020/5/8, 91, 72, 30, 2, 9
2020/5/9, 101, 63, 27, 2, 10
2020/5/10, 91, 52, 20, 2, 10
2020/5/11, 80, 41, 15, 2, 8
2020/5/12, 55, 54, 10, 1, 10
2020/5/13, 70, 60, 14, 1, 11
2020/5/14, 108, 65, 24, 3, 13
2020/5/15, 94, 71, 22, 13, 10
2020/5/16, 112, 70, 14, 6, 10
2020/5/17, 111, 63, 19, 2, 10
2020/5/18, 105, 55, 12, 2, 11
2020/5/19, 85, 61, 21, 1, 15
2020/5/20, 105, 68, 11, 1, 14
2020/5/21, 125, 54, 15, 3, 15
2020/5/22, 127, 47, 12, 15, 13
2020/5/23, 85, 61, 19, 4, 18
2020/5/24, 106, 61, 18, 14, 16
2020/5/25, 145, 52, 8, 2, 14
2020/5/26, 88, 55, 20, 3, 14
2020/5/27, 90, 54, 16, 2, 15
2020/5/28, 83, 69, 5, 1, 15
2020/5/29, 129, 65, 2, 1, 17
2020/5/30, 151, 49, 4, 2, 18
2020/5/31, 95, 62, 17, 3, 22
2020/6/1, 134, 69, 19, 2, 17
2020/6/2, 151, 84, 74, 2, 18
2020/6/3, 156, 78, 11, 1, 8
2020/6/4, 161, 62, 15, 1, 8
2020/6/5, 150, 70, 16, 1, 10
2020/6/6, 128, 80, 19, 1, 13
2020/6/7, 156, 87, 20, 5, 13
2020/6/8, 163, 81, 36, 11, 10
2020/6/9, 159, 74, 16, 7, 10
2020/6/10, 150, 77, 19, 2, 11
2020/6/11, 140, 78, 18, 1, 17
2020/6/12, 157, 52, 20, 2, 7
2020/6/13, 95, 56, 14, 14, 
2020/6/14, 94, 67, 14, 1, 17
2020/6/15, 154, 63, 15, 2, 21
2020/6/16, 133, 64, 8, 2, 17
2020/6/17, 123, 54, 13, 1, 14
2020/6/18, 120, 57, 26, 4, 12
2020/6/19, 86, 59, 17, 11, 12
2020/6/20, 121, 55, 16, 16, 13
2020/6/21, 90, 50, 16, 12, 11
2020/6/22, 84, 46, 38, 6, 18
2020/6/23, 109, 25, 21, 2, 9
2020/6/24, 68, 15, 20, 2, 10
2020/6/25, 51, 67, 14, 3, 23
2020/6/26, 84, 53, 16, 3, 20
2020/6/27, 123, 71, 10, 13, 28
2020/6/28, 100, 83, 11, 4, 27
2020/6/29, 167, 59, 19, 2, 17
2020/6/30, 154, 52, 26, 14, 18
2020/1/2, 48, 52, 29, 1, 4
2020/1/3, 37, 55, 39, 1, 5
2020/1/4, 36, 48, 29, 1, 5
2020/1/5, 36, 45, 22, 1, 5
2020/1/6, 33, 42, 27, 1, 4
2020/1/7, 40, 47, 23, 1, 4
2020/1/8, 32, 39, 15, 1, 4
2020/1/9, 14, 35, 39, 1, 7
2020/1/10, 15, 37, 33, 1, 3
2020/1/11, 26, 40, 39, 1, 4
2020/1/12, 27, 42, 39, 1, 5
2020/1/13, 34, 40, 49, 1, 9
2020/1/14, 39, 49, 35, 1, 6
2020/1/15, 39, 64, 24, 1, 5
2020/1/16, 23, 62, 35, 1, 5
2020/1/17, 36, 58, 39, 1, 5
2020/1/18, 48, 55, 38, 1, 6
2020/1/19, 49, 50, 26, 1, 6
2020/1/20, 46, 47, 40, 1, 9
2020/1/21, 43, 58, 37, 1, 6
2020/1/22, 48, 53, 26, 1, 5
2020/1/23, 42, 49, 23, 1, 6
2020/1/24, 37, 47, 38, 1, 6
2020/1/25, 25, 46, 39, 1, 5
2020/1/26, 37, 45, 30, 1, 4
2020/1/27, 38, 45, 32, 1, 5
2020/1/28, 21, 54, 39, 1, 8
2020/1/29, 42, 49, 24, 1, 5
2020/1/30, 30, 51, 33, 1, 5
2020/1/31, 38, 50, 40, 1, 5
2020/2/1, 36, 47, 30, 1, 5
2020/2/2, 42, 42, 27, 1, 5
2020/2/3, 22, 38, 38, 1, 4
2020/2/4, 16, 39, 23, 1, 4
2020/2/5, 16, 41, 28, 1, 4
2020/2/6, 19, 39, 26, 1, 4
2020/2/7, 18, 45, 34, 1, 11
2020/2/8, 27, 45, 41, 1, 5
2020/2/9, 30, 44, 17, 1, 5
2020/2/10, 37, 50, , , 
2020/2/11, 38, 53, , , 
2020/2/12, 51, 54, , , 
2020/2/13, 56, 52, , , 
2020/2/14, 56, 48, , , 
2020/2/15, 44, 51, , , 
2020/2/16, 51, 40, , , 
2020/2/17, 41, 35, , , 
2020/2/18, 18, 49, , , 
2020/2/19, 32, 55, , , 
2020/2/20, 58, 61, , , 
2020/2/21, 61, 55, , , 
2020/2/22, 51, 48, , , 
2020/2/23, 42, 46, , , 
2020/2/24, 40, 49, 19, 1, 14
2020/2/25, 45, 52, 30, 1, 15
2020/2/26, 49, 60, 40, 1, 11
2020/2/27, 21, 55, 35, 1, 
2020/2/28, 4, 61, 48, 1, 2
2020/2/29, 5, 52, 34, 1, 3
2020/3/1, 18, 10, 22, 1, 1
2020/3/2, 65, 5, 32, 1, 
