date, pm25, pm10, o3, no2, so2, co
2020/10/2, 26, 30, 13, 5, , 11
2020/10/3, 46, 24, 14, 5, , 12
2020/10/4, 41, 15, 15, 1, , 11
2020/10/5, 28, 21, 14, 3, , 13
2020/10/6, 34, 23, 18, 3, , 15
2020/10/7, 28, 27, 17, 5, , 4
2020/10/8, 27, 32, 17, 6, , 6
2020/10/9, 44, 31, 17, 5, , 6
2020/10/10, 33, 27, 18, 2, , 5
2020/10/11, 27, 24, 15, 15, , 7
2020/10/12, 25, 25, 17, 8, , 9
2020/10/13, 34, 32, 20, 4, , 8
2020/10/14, 29, 34, 13, 4, , 8
2020/10/15, 16, 42, 28, 4, 8, 19
2020/10/16, 6, 33, 14, 3, , 3
2020/10/17, 4, 19, 13, 1, , 1
2020/10/18, 11, 15, 15, 1, , 
2020/10/19, 21, 20, 18, 4, , 
2020/10/20, 18, 21, 21, 4, , 2
2020/10/21, 19, 8, 36, 4, 6, 6
2020/10/22, 34, 5, 30, 3, , 3
2020/10/23, 40, 4, 26, 3, , 3
2020/10/24, 44, 11, 18, 1, , 3
2020/10/25, 18, 11, 21, 11, , 4
2020/10/26, 15, 15, 23, 2, , 5
2020/10/27, 22, 12, 14, 5, , 6
2020/10/28, 18, 13, 20, 1, , 6
2020/10/29, 22, 22, 18, 8, 5, 9
2020/10/30, 29, 34, 23, 6, , 8
2020/10/31, 56, 28, 20, 5, , 8
2020/11/1, 48, 18, 14, , , 7
2020/11/2, 29, 25, 22, 1, , 8
2020/11/3, 31, 41, 26, 2, , 8
2020/11/4, 51, 29, 16, 2, , 9
2020/11/5, 42, 26, 19, 3, , 3
2020/11/6, 28, 30, 19, 7, , 6
2020/11/7, 34, 29, 21, 5, , 7
2020/11/8, 46, 19, 16, , , 6
2020/11/9, 32, 23, 19, 4, , 7
2020/11/10, 31, 23, 36, 1, 2, 7
2020/11/11, 37, 21, 9, 2, , 4
2020/11/12, 27, 26, 14, 1, , 5
2020/11/13, 38, 22, 9, 1, , 5
2020/11/14, 33, 16, 9, 7, , 5
2020/11/15, 15, 15, 11, 3, , 5
2020/11/16, 15, 21, 12, 4, , 6
2020/11/17, 23, 26, 7, 4, , 7
2020/11/18, 33, 23, 13, 4, , 6
2020/11/19, 27, 25, 6, 1, , 5
2020/11/20, 30, 14, 7, 1, , 6
2020/11/21, 11, 12, 8, 3, , 6
2020/11/22, 8, 11, 10, 1, , 7
2020/11/23, 9, 12, 6, 2, , 7
2020/11/24, 8, 15, 7, 1, , 7
2020/11/25, 12, 18, 7, 1, , 8
2020/11/26, 15, 27, 10, 4, , 9
2020/11/27, 21, 24, 23, 3, , 8
2020/11/28, 28, 15, 8, 2, , 4
2020/11/29, 16, 13, 8, 3, , 5
2020/11/30, 10, 22, 12, 6, , 6
2020/12/1, 20, 26, 11, 4, , 8
2020/12/2, 29, 23, 10, 3, , 9
2020/12/3, 28, 27, 9, 2, , 6
2020/12/4, 22, 31, 12, 2, , 7
2020/12/5, 28, 28, 12, 3, , 8
