date, pm25
2020/10/2, 48
2020/10/3, 85
2020/10/4, 107
2020/10/5, 117
2020/10/6, 71
2020/10/7, 80
2020/10/8, 106
2020/10/9, 96
2020/10/10, 71
2020/10/11, 80
2020/10/12, 49
2020/10/13, 48
2020/10/14, 61
2020/10/15, 67
2020/10/16, 70
2020/10/17, 61
2020/10/18, 59
2020/10/19, 54
2020/10/20, 67
2020/10/21, 74
2020/10/22, 76
2020/10/23, 67
2020/10/24, 91
2020/10/25, 72
2020/10/26, 59
2020/10/27, 75
2020/10/28, 89
2020/10/29, 80
2020/10/30, 27
2020/10/31, 24
2020/11/1, 40
2020/11/2, 58
2020/11/3, 36
2020/11/4, 45
2020/11/5, 70
2020/11/6, 73
2020/11/7, 58
2020/11/8, 37
2020/11/9, 38
2020/11/10, 32
2020/11/11, 27
2020/11/12, 38
2020/11/13, 30
2020/11/14, 41
2020/11/15, 38
2020/11/16, 28
2020/11/17, 22
2020/11/18, 14
2020/11/19, 23
2020/11/20, 43
2020/11/21, 32
2020/11/22, 41
2020/11/23, 64
2020/11/24, 65
2020/11/25, 58
2020/11/26, 53
2020/11/27, 48
2020/11/28, 61
2020/11/29, 51
2020/11/30, 30
2020/12/1, 27
2020/12/2, 31
2020/12/3, 30
2020/12/4, 22
2020/12/5, 33
2020/12/6, 32
2020/12/7, 20
2020/12/8, 12
2020/12/9, 25
2020/12/10, 44
2020/12/11, 60
2020/12/12, 52
2020/12/13, 40
2020/12/14, 27
2020/12/15, 34
2020/12/16, 28
2020/12/17, 26
2020/12/18, 21
2020/12/19, 20
2020/12/20, 22
2020/12/21, 19
2020/12/22, 18
2020/12/23, 24
2020/12/24, 19
2020/12/25, 26
2020/12/26, 32
2020/12/27, 27
2020/12/28, 38
2020/12/29, 17
2020/12/30, 22
2020/12/31, 28
2021/1/1, 48
2021/1/2, 28
2020/7/2, 71
2020/7/3, 107
2020/7/4, 155
2020/7/5, 124
2020/7/6, 93
2020/7/7, 148
2020/7/8, 141
2020/7/9, 154
2020/7/10, 138
2020/7/11, 142
2020/7/12, 138
2020/7/13, 131
2020/7/14, 126
2020/7/15, 125
2020/7/16, 113
2020/7/17, 92
2020/7/18, 98
2020/7/19, 106
2020/7/20, 92
2020/7/21, 107
2020/7/22, 46
2020/7/23, 30
2020/7/24, 88
2020/7/25, 188
2020/7/26, 192
2020/7/27, 145
2020/7/28, 73
2020/7/29, 70
2020/7/30, 99
2020/7/31, 118
2020/8/1, 123
2020/8/2, 99
2020/8/3, 90
2020/8/4, 99
2020/8/5, 156
2020/8/6, 129
2020/8/7, 101
2020/8/8, 131
2020/8/9, 99
2020/8/10, 107
2020/8/11, 73
2020/8/12, 75
2020/8/13, 65
2020/8/14, 92
2020/8/15, 71
2020/8/16, 56
2020/8/17, 50
2020/8/18, 57
2020/8/19, 60
2020/8/20, 156
2020/8/21, 99
2020/8/22, 151
2020/8/23, 67
2020/8/24, 58
2020/8/25, 119
2020/8/26, 66
2020/8/27, 70
2020/8/28, 62
2020/8/29, 81
2020/8/30, 53
2020/8/31, 43
2020/9/1, 64
2020/9/2, 83
2020/9/3, 143
2020/9/4, 138
2020/9/5, 109
2020/9/6, 104
2020/9/7, 138
2020/9/8, 130
2020/9/9, 116
2020/9/10, 99
2020/9/11, 77
2020/9/12, 87
2020/9/13, 86
2020/9/14, 73
2020/9/15, 94
2020/9/16, 124
2020/9/17, 117
2020/9/18, 75
2020/9/19, 49
2020/9/20, 62
2020/9/21, 99
2020/9/22, 114
2020/9/23, 70
2020/9/24, 57
2020/9/25, 71
2020/9/26, 55
2020/9/27, 45
2020/9/28, 58
2020/9/29, 78
2020/9/30, 56
2020/10/1, 41
2020/4/2, 62
2020/4/3, 63
2020/4/4, 64
2020/4/5, 69
2020/4/6, 49
2020/4/7, 89
2020/4/8, 81
2020/4/9, 101
2020/4/10, 111
2020/4/11, 60
2020/4/12, 82
2020/4/13, 97
2020/4/14, 72
2020/4/15, 55
2020/4/16, 64
2020/4/17, 72
2020/4/18, 56
2020/4/19, 72
2020/4/20, 69
2020/4/21, 110
2020/4/22, 74
2020/4/23, 142
2020/4/24, 84
2020/4/25, 145
2020/4/26, 92
2020/4/27, 89
2020/4/28, 74
2020/4/29, 84
2020/4/30, 109
2020/5/1, 107
2020/5/2, 102
2020/5/3, 94
2020/5/4, 91
2020/5/5, 107
2020/5/6, 101
2020/5/7, 122
2020/5/8, 151
2020/5/9, 141
2020/5/10, 111
2020/5/11, 119
2020/5/12, 109
2020/5/13, 126
2020/5/14, 128
2020/5/15, 131
2020/5/16, 155
2020/5/17, 79
2020/5/18, 102
2020/5/19, 97
2020/5/20, 112
2020/5/21, 152
2020/5/22, 164
2020/5/23, 151
2020/5/24, 146
2020/5/25, 88
2020/5/26, 99
2020/5/27, 113
2020/5/28, 145
2020/5/29, 153
2020/5/30, 153
2020/5/31, 77
2020/6/1, 96
2020/6/2, 169
2020/6/3, 149
2020/6/4, 155
2020/6/5, 97
2020/6/6, 145
2020/6/7, 127
2020/6/8, 125
2020/6/9, 104
2020/6/10, 97
2020/6/11, 85
2020/6/12, 102
2020/6/13, 160
2020/6/14, 147
2020/6/15, 126
2020/6/16, 126
2020/6/17, 118
2020/6/18, 107
2020/6/19, 115
2020/6/20, 77
2020/6/21, 90
2020/6/22, 163
2020/6/23, 124
2020/6/24, 120
2020/6/25, 157
2020/6/26, 125
2020/6/27, 119
2020/6/28, 30
2020/6/29, 32
2020/6/30, 55
2020/7/1, 64
2020/1/2, 44
2020/1/3, 25
2020/1/4, 15
2020/1/5, 28
2020/1/6, 30
2020/1/7, 34
2020/1/8, 45
2020/1/9, 52
2020/1/10, 54
2020/1/11, 47
2020/1/12, 42
2020/1/13, 25
2020/1/14, 24
2020/1/15, 21
2020/1/16, 36
2020/1/17, 30
2020/1/18, 24
2020/1/19, 19
2020/1/20, 27
2020/1/21, 19
2020/1/22, 17
2020/1/23, 15
2020/1/24, 16
2020/1/25, 26
2020/1/26, 16
2020/1/27, 23
2020/1/28, 39
2020/1/29, 38
2020/1/30, 39
2020/1/31, 23
2020/2/1, 14
2020/2/2, 17
2020/2/3, 47
2020/2/4, 40
2020/2/5, 49
2020/2/6, 43
2020/2/7, 42
2020/2/8, 55
2020/2/9, 32
2020/2/10, 26
2020/2/11, 15
2020/2/12, 22
2020/2/13, 24
2020/2/14, 50
2020/2/15, 32
2020/2/16, 23
2020/2/17, 49
2020/2/18, 50
2020/2/19, 35
2020/2/20, 36
2020/2/21, 42
2020/2/22, 42
2020/2/23, 29
2020/2/24, 16
2020/2/25, 18
2020/2/26, 22
2020/2/27, 25
2020/2/28, 14
2020/2/29, 14
2020/3/1, 14
2020/3/2, 17
2020/3/3, 19
2020/3/4, 34
2020/3/5, 57
2020/3/6, 43
2020/3/7, 24
2020/3/8, 34
2020/3/9, 23
2020/3/10, 25
2020/3/11, 42
2020/3/12, 32
2020/3/13, 47
2020/3/14, 63
2020/3/15, 51
2020/3/16, 38
2020/3/17, 25
2020/3/18, 37
2020/3/19, 52
2020/3/20, 31
2020/3/21, 21
2020/3/22, 27
2020/3/23, 29
2020/3/24, 59
2020/3/25, 49
2020/3/26, 66
2020/3/27, 56
2020/3/28, 26
2020/3/29, 56
2020/3/30, 74
2020/3/31, 78
2020/4/1, 93
2019/10/2, 81
2019/10/3, 59
2019/10/4, 95
2019/10/5, 49
2019/10/6, 48
2019/10/7, 60
2019/10/8, 50
2019/10/9, 53
2019/10/10, 38
2019/10/11, 41
2019/10/12, 67
2019/10/13, 48
2019/10/14, 41
2019/10/15, 79
2019/10/16, 33
2019/10/17, 54
2019/10/18, 68
2019/10/19, 42
2019/10/20, 42
2019/10/21, 23
2019/10/22, 30
2019/10/23, 31
2019/10/24, 48
2019/10/25, 26
2019/10/26, 18
2019/10/27, 25
2019/10/28, 57
2019/10/29, 65
2019/10/30, 72
2019/10/31, 62
2019/11/1, 43
2019/11/2, 64
2019/11/3, 32
2019/11/4, 32
2019/11/5, 55
2019/11/6, 36
2019/11/7, 41
2019/11/8, 42
2019/11/9, 44
2019/11/10, 39
2019/11/11, 31
2019/11/12, 35
2019/11/13, 30
2019/11/14, 18
2019/11/15, 35
2019/11/16, 31
2019/11/17, 60
2019/11/18, 50
2019/11/19, 69
2019/11/21, 55
2019/11/22, 60
2019/11/23, 44
2019/11/24, 38
2019/11/25, 21
2019/11/26, 29
2019/11/27, 41
2019/11/28, 44
2019/11/29, 77
2019/11/30, 49
2019/12/1, 51
2019/12/2, 50
2019/12/3, 18
2019/12/4, 24
2019/12/5, 24
2019/12/6, 23
2019/12/7, 22
2019/12/8, 12
2019/12/9, 11
2019/12/10, 9
2019/12/11, 17
2019/12/12, 35
2019/12/13, 36
2019/12/14, 56
2019/12/15, 46
2019/12/16, 27
2019/12/17, 31
2019/12/18, 36
2019/12/19, 42
2019/12/20, 58
2019/12/21, 36
2019/12/22, 32
2019/12/23, 67
2019/12/24, 50
2019/12/25, 54
2019/12/26, 47
2019/12/27, 37
2019/12/28, 44
2019/12/29, 50
2019/12/30, 51
2019/7/2, 99
2019/7/3, 95
2019/7/4, 132
2019/7/5, 99
2019/7/6, 157
2019/7/7, 151
2019/7/8, 98
2019/7/9, 116
2019/7/10, 102
2019/7/11, 107
2019/7/12, 147
2019/7/13, 110
2019/7/14, 104
2019/7/15, 113
2019/7/16, 150
2019/7/17, 123
2019/7/18, 128
2019/7/19, 91
2019/7/20, 75
2019/7/21, 92
2019/7/22, 120
2019/7/23, 89
2019/7/24, 108
2019/7/25, 118
2019/7/26, 145
2019/7/27, 139
2019/7/28, 145
2019/7/29, 151
2019/7/30, 113
2019/7/31, 111
2019/8/1, 125
2019/8/2, 122
2019/8/3, 149
2019/8/4, 94
2019/8/5, 84
2019/8/6, 114
2019/8/7, 89
2019/8/8, 90
2019/8/9, 77
2019/8/10, 103
2019/8/11, 84
2019/8/12, 99
2019/8/13, 105
2019/8/14, 169
2019/8/15, 120
2019/8/16, 68
2019/8/17, 112
2019/8/18, 158
2019/8/19, 64
2019/8/20, 90
2019/8/21, 124
2019/8/22, 58
2019/8/23, 152
2019/8/24, 91
2019/8/25, 127
2019/8/26, 143
2019/8/27, 68
2019/8/28, 111
2019/8/29, 98
2019/8/30, 86
2019/8/31, 115
2019/9/1, 64
2019/9/2, 60
2019/9/3, 124
2019/9/4, 134
2019/9/5, 91
2019/9/6, 28
2019/9/7, 90
2019/9/8, 83
2019/9/9, 130
2019/9/10, 71
2019/9/11, 87
2019/9/12, 157
2019/9/13, 137
2019/9/14, 84
2019/9/15, 97
2019/9/16, 97
2019/9/17, 51
2019/9/18, 41
2019/9/19, 41
2019/9/20, 42
2019/9/21, 42
2019/9/22, 48
2019/9/23, 47
2019/9/24, 65
2019/9/25, 65
2019/9/26, 31
2019/9/27, 68
2019/9/28, 60
2019/9/29, 48
2019/9/30, 53
2019/10/1, 76
2019/4/2, 22
2019/4/3, 22
2019/4/4, 32
2019/4/5, 26
2019/4/6, 27
2019/4/7, 39
2019/4/8, 27
2019/4/9, 110
2019/4/10, 68
2019/4/11, 26
2019/4/12, 23
2019/4/13, 74
2019/4/14, 67
2019/4/15, 59
2019/4/16, 72
2019/4/17, 76
2019/4/18, 41
2019/4/19, 26
2019/4/20, 22
2019/4/21, 31
2019/4/22, 64
2019/4/23, 98
2019/4/24, 69
2019/4/25, 144
2019/4/27, 178
2019/4/28, 113
2019/4/29, 91
2019/5/1, 61
2019/5/2, 84
2019/5/3, 54
