date, pm25, pm10, no2, co
2020/10/2, 80, 17, 5, 10
2020/10/3, 45, 29, 4, 6
2020/10/4, 79, 21, 1, 4
2020/10/5, 71, 17, 4, 9
2020/10/6, 50, 38, 5, 7
2020/10/7, 95, 33, 5, 8
2020/10/8, 83, 27, 3, 8
2020/10/9, 67, 16, 2, 9
2020/10/10, 35, 14, 1, 8
2020/10/11, 21, 16, 1, 9
2020/10/12, 28, 18, , 9
2020/10/13, 33, 18, 1, 10
2020/10/14, 29, 25, 1, 11
2020/10/15, 30, 33, 2, 12
2020/10/16, 44, 34, 3, 10
2020/10/17, 50, 29, 1, 5
2020/10/18, 50, 19, 1, 5
2020/10/19, 43, 21, 2, 5
2020/10/20, 48, 25, 1, 4
2020/10/21, 29, 26, 2, 4
2020/10/22, 28, 28, 2, 10
2020/10/23, 38, 29, 3, 
2020/10/24, 38, 27, 3, 3
2020/10/25, 59, 17, 3, 5
2020/10/26, 51, 22, 4, 2
2020/10/27, 60, 14, 2, 
2020/10/28, 40, 14, 3, 7
2020/10/29, 27, 19, 7, 2
2020/10/30, 32, 25, 2, 2
2020/10/31, 39, 23, , 4
2020/11/1, 35, 19, , 4
2020/11/2, 29, 17, 1, 5
2020/11/3, 28, 19, 1, 5
2020/11/4, 30, 21, 2, 9
2020/11/5, 26, 25, 2, 5
2020/11/6, 25, 18, 1, 6
2020/11/7, 17, 19, , 6
2020/11/8, 20, 19, , 7
2020/11/9, 22, 20, , 8
2020/11/10, 23, 24, , 9
2020/11/11, 27, 18, , 9
2020/11/12, 22, 14, 1, 2
2020/11/13, 18, 17, 2, 3
2020/11/14, 30, 18, 2, 2
2020/11/15, 39, 20, 1, 2
2020/11/16, 25, 23, 1, 2
2020/11/17, 26, 21, 1, 4
2020/11/18, 22, 22, , 5
2020/11/19, 26, 20, 1, 6
2020/11/20, 27, 21, 3, 7
2020/11/21, 35, 20, 2, 14
2020/11/22, 43, 14, 2, 5
2020/11/23, 31, 20, 2, 7
2020/11/24, 29, 22, 4, 6
2020/11/25, 34, 18, 3, 6
2020/11/26, 28, 18, 2, 6
2020/11/27, 24, 17, 1, 6
2020/11/28, 24, 12, 2, 9
2020/11/29, 21, 12, , 7
2020/11/30, 18, 14, 1, 7
2020/12/1, 17, 15, , 8
2020/12/2, 18, 16, 1, 9
2020/12/3, 22, 24, 1, 8
2020/12/4, 22, 27, 2, 13
2020/12/5, 27, 29, 1, 11
2020/12/6, 38, 24, , 12
2020/12/7, 32, 21, 1, 12
2020/12/8, 18, 17, 1, 13
2020/12/9, 21, 20, , 13
2020/12/10, 23, 16, 2, 14
2020/12/11, 20, 14, 3, 14
2020/12/12, 26, 11, 1, 6
2020/12/13, 21, 12, 1, 4
2020/12/14, 21, 12, 2, 4
2020/12/15, 28, 16, 1, 
2020/12/16, 26, 18, 2, 4
2020/12/17, 26, 21, 1, 3
2020/12/18, 25, 20, 1, 5
2020/12/19, 18, 12, , 6
2020/12/20, 13, 9, , 6
2020/12/21, 13, 16, 1, 12
2020/12/22, 15, 18, , 7
2020/12/23, 18, 17, , 7
2020/12/24, 15, 16, , 8
2020/12/25, 14, 13, , 10
2020/12/26, 10, 11, , 12
2020/12/27, 6, 9, , 12
2020/12/28, 6, 14, , 13
2020/12/29, 12, 16, 2, 13
2020/12/30, 15, 14, 2, 20
2020/12/31, 17, 17, 1, 4
2021/1/1, 16, 20, 1, 7
2021/1/2, 20, 18, , 8
2021/1/3, 22, 16, , 10
2021/1/4, 22, , , 
2020/7/2, 39, 39, 11, 9
2020/7/3, 91, 29, 9, 7
2020/7/4, 79, 27, 7, 7
2020/7/5, 64, 41, 9, 13
2020/7/6, 59, 76, 13, 13
2020/7/7, 161, 59, 6, 7
2020/7/8, 160, 36, 10, 2
2020/7/9, 85, 19, 4, 1
2020/7/10, 65, 12, 8, 3
2020/7/11, 19, 13, 6, 1
2020/7/12, 37, 29, 6, 1
2020/7/13, 48, 56, 8, 9
2020/7/14, 112, 72, 13, 12
2020/7/15, 162, 74, 15, 19
2020/7/16, 158, 65, 5, 18
2020/7/17, 160, 25, 6, 2
2020/7/18, 71, 23, 6, 2
2020/7/19, 42, 21, 3, 2
2020/7/20, 68, 25, 6, 1
2020/7/21, 44, 29, 3, 8
2020/7/22, 80, 49, 10, 7
2020/7/23, 100, 37, 12, 13
2020/7/24, 91, 44, 7, 4
2020/7/25, 97, 22, 4, 4
2020/7/26, 66, 12, 5, 5
2020/7/27, 34, 34, 10, 11
2020/7/28, 54, 71, 10, 22
2020/7/29, 149, 85, 11, 13
2020/7/30, 158, 75, 7, 9
2020/7/31, 171, 48, 11, 2
2020/8/1, 122, 34, 9, 5
2020/8/2, 90, 39, 7, 11
2020/8/3, 77, 45, 6, 10
2020/8/4, 108, 30, 7, 7
2020/8/5, 70, 22, 7, 2
2020/8/6, 60, 33, 7, 15
2020/8/7, 67, 39, 11, 19
2020/8/8, 74, 55, 7, 9
2020/8/9, 138, 42, 3, 4
2020/8/10, 107, 30, 10, 5
2020/8/11, 44, 54, 7, 11
2020/8/12, 132, 45, 7, 9
2020/8/13, 111, 23, 7, 2
2020/8/14, 67, 29, 7, 3
2020/8/15, 66, 26, 8, 3
2020/8/16, 60, 34, 4, 5
2020/8/17, 83, 23, 5, 4
2020/8/18, 67, 20, 9, 6
2020/8/19, 38, 43, 8, 14
2020/8/20, 106, 18, 5, 11
2020/8/21, 54, 31, 7, 12
2020/8/22, 58, 49, 7, 16
2020/8/23, 102, 41, 3, 10
2020/8/24, 108, 20, 4, 
2020/8/25, 57, 14, 5, 2
2020/8/26, 36, 10, 4, 1
2020/8/27, 27, 12, 5, 7
2020/8/28, 26, 14, 7, 4
2020/8/29, 36, 43, 8, 18
2020/8/30, 90, 60, 5, 12
2020/8/31, 138, 26, 9, 7
2020/9/1, 65, 53, 9, 13
2020/9/2, 96, 41, 7, 3
2020/9/3, 91, 34, 11, 7
2020/9/4, 86, 65, 19, 11
2020/9/5, 158, 70, 11, 15
2020/9/6, 169, 76, 4, 11
2020/9/7, 179, 54, 9, 8
2020/9/8, 105, 36, 8, 12
2020/9/9, 68, 28, 6, 12
2020/9/10, 78, 24, 7, 13
2020/9/11, 60, 39, 6, 16
2020/9/12, 91, 31, 8, 17
2020/9/13, 82, 40, 4, 20
2020/9/14, 107, 21, 4, 21
2020/9/15, 54, 19, 4, 18
2020/9/16, 48, 18, 4, 21
2020/9/17, 50, 17, 2, 9
2020/9/18, 45, 40, 4, 11
2020/9/19, 102, 16, 3, 12
2020/9/20, 51, 14, 2, 4
2020/9/21, 35, 21, 2, 1
2020/9/22, 40, 20, 3, 8
2020/9/23, 40, 25, 3, 3
2020/9/24, 49, 35, 3, 5
2020/9/25, 74, 36, 5, 6
2020/9/26, 75, 29, 3, 5
2020/9/27, 64, 22, 2, 6
2020/9/28, 53, 14, , 7
2020/9/29, 32, 29, 2, 7
2020/9/30, 30, 20, 5, 8
2020/10/1, 35, 28, 3, 12
2020/4/2, 20, 19, 2, 
2020/4/3, 20, 17, 4, 
2020/4/4, 23, 15, 1, 
2020/4/5, 17, 17, 1, 
2020/4/6, 32, 17, 3, 2
2020/4/7, 43, 20, 6, 1
2020/4/8, 29, 44, 4, 
2020/4/9, 63, 35, 3, 
2020/4/10, 63, 27, 2, 
2020/4/11, 65, 12, 3, 
2020/4/12, 35, 13, 4, 3
2020/4/13, 32, 40, 5, 5
2020/4/14, 81, 48, 7, 5
2020/4/15, 93, 65, 8, 3
2020/4/16, 135, 59, 9, 3
2020/4/17, 143, 41, 6, 3
2020/4/18, 97, 14, 2, 
2020/4/19, 40, 16, 3, 
2020/4/20, 37, 21, 5, 15
2020/4/21, 57, 28, 8, 5
2020/4/22, 53, 56, 11, 7
2020/4/23, 145, 50, 7, 9
2020/4/24, 135, 14, 6, 
2020/4/25, 46, 10, 2, 
2020/4/26, 20, 17, 2, 
2020/4/27, 49, 16, 4, 1
2020/4/28, 36, 30, 6, 8
2020/4/29, 56, 53, 5, 9
2020/4/30, 144, 32, 8, 10
2020/5/1, 74, 56, 5, 9
2020/5/2, 134, 47, 4, 4
2020/5/3, 132, 31, 4, 3
2020/5/4, 90, 21, 8, 7
2020/5/5, 58, 15, 6, 13
2020/5/6, 57, 11, 6, 9
2020/5/7, 34, 40, 10, 10
2020/5/8, 61, 55, 8, 17
2020/5/9, 143, 18, 2, 
2020/5/10, 57, 17, 8, 8
2020/5/11, 17, 39, 7, 9
2020/5/12, 84, 40, 8, 11
2020/5/13, 87, 46, 8, 7
2020/5/14, 110, 54, 6, 13
2020/5/15, 143, 32, 5, 3
2020/5/16, 74, 27, 4, 2
2020/5/17, 67, 29, 4, 7
2020/5/18, 49, 37, 6, 5
2020/5/19, 88, 36, 8, 4
2020/5/20, 68, 57, 8, 10
2020/5/21, 115, 58, 7, 10
2020/5/22, 140, 78, 12, 15
2020/5/23, 151, 86, 9, 10
2020/5/24, 177, 64, 5, 9
2020/5/25, 154, 56, 10, 8
2020/5/26, 103, 60, 5, 10
2020/5/27, 149, 34, 5, 6
2020/5/28, 92, 18, 7, 6
2020/5/29, 43, 52, 8, 14
2020/5/30, 113, 65, 10, 23
